Date,Ozone,Solar,Wind,Temp
01-05-1976,41,190,7.4,67
02-05-1976,36,118,8,72
03-05-1976,12,149,12.6,74
04-05-1976,18,313,11.5,62
05-05-1976,NA,NA,14.3,56
06-05-1976,28,NA,14.9,66
07-05-1976,23,299,8.6,65
08-05-1976,19,99,13.8,59
09-05-1976,8,19,20.1,61
10-05-1976,NA,194,8.6,69
11-05-1976,7,NA,6.9,74
12-05-1976,16,256,9.7,69
13-05-1976,11,290,9.2,66
14-05-1976,14,274,10.9,68
15-05-1976,18,65,13.2,58
16-05-1976,14,334,11.5,64
17-05-1976,34,307,12,66
18-05-1976,6,78,18.4,57
19-05-1976,30,322,11.5,68
20-05-1976,11,44,9.7,62
21-05-1976,1,8,9.7,59
22-05-1976,11,320,16.6,73
23-05-1976,4,25,9.7,61
24-05-1976,32,92,12,61
25-05-1976,NA,66,16.6,57
26-05-1976,NA,266,14.9,58
27-05-1976,NA,NA,8,57
28-05-1976,23,13,12,67
29-05-1976,45,252,14.9,81
30-05-1976,115,223,5.7,79
31-05-1976,37,279,7.4,76
01-06-1976,NA,286,8.6,78
02-06-1976,NA,287,9.7,74
03-06-1976,NA,242,16.1,67
04-06-1976,NA,186,9.2,84
05-06-1976,NA,220,8.6,85
06-06-1976,NA,264,14.3,79
07-06-1976,29,127,9.7,82
08-06-1976,NA,273,6.9,87
09-06-1976,71,291,13.8,90
10-06-1976,39,323,11.5,87
11-06-1976,NA,259,10.9,93
12-06-1976,NA,250,9.2,92
13-06-1976,23,148,8,82
14-06-1976,NA,332,13.8,80
15-06-1976,NA,322,11.5,79
16-06-1976,21,191,14.9,77
17-06-1976,37,284,20.7,72
18-06-1976,20,37,9.2,65
19-06-1976,12,120,11.5,73
20-06-1976,13,137,10.3,76
21-06-1976,NA,150,6.3,77
22-06-1976,NA,59,1.7,76
23-06-1976,NA,91,4.6,76
24-06-1976,NA,250,6.3,76
25-06-1976,NA,135,8,75
26-06-1976,NA,127,8,78
27-06-1976,NA,47,10.3,73
28-06-1976,NA,98,11.5,80
29-06-1976,NA,31,14.9,77
30-06-1976,NA,138,8,83
01-07-1976,135,269,4.1,84
02-07-1976,49,248,9.2,85
03-07-1976,32,236,9.2,81
04-07-1976,NA,101,10.9,84
05-07-1976,64,175,4.6,83
06-07-1976,40,314,10.9,83
07-07-1976,77,276,5.1,88
08-07-1976,97,267,6.3,92
09-07-1976,97,272,5.7,92
10-07-1976,85,175,7.4,89
11-07-1976,NA,139,8.6,82
12-07-1976,10,264,14.3,73
13-07-1976,27,175,14.9,81
14-07-1976,NA,291,14.9,91
15-07-1976,7,48,14.3,80
16-07-1976,48,260,6.9,81
17-07-1976,35,274,10.3,82
18-07-1976,61,285,6.3,84
19-07-1976,79,187,5.1,87
20-07-1976,63,220,11.5,85
21-07-1976,16,7,6.9,74
22-07-1976,NA,258,9.7,81
23-07-1976,NA,295,11.5,82
24-07-1976,80,294,8.6,86
25-07-1976,108,223,8,85
26-07-1976,20,81,8.6,82
27-07-1976,52,82,12,86
28-07-1976,82,213,7.4,88
29-07-1976,50,275,7.4,86
30-07-1976,64,253,7.4,83
31-07-1976,59,254,9.2,81
01-08-1976,39,83,6.9,81
02-08-1976,9,24,13.8,81
03-08-1976,16,77,7.4,82
04-08-1976,78,NA,6.9,86
05-08-1976,35,NA,7.4,85
06-08-1976,66,NA,4.6,87
07-08-1976,122,255,4,89
08-08-1976,89,229,10.3,90
09-08-1976,110,207,8,90
10-08-1976,NA,222,8.6,92
11-08-1976,NA,137,11.5,86
12-08-1976,44,192,11.5,86
13-08-1976,28,273,11.5,82
14-08-1976,65,157,9.7,80
15-08-1976,NA,64,11.5,79
16-08-1976,22,71,10.3,77
17-08-1976,59,51,6.3,79
18-08-1976,23,115,7.4,76
19-08-1976,31,244,10.9,78
20-08-1976,44,190,10.3,78
21-08-1976,21,259,15.5,77
22-08-1976,9,36,14.3,72
23-08-1976,NA,255,12.6,75
24-08-1976,45,212,9.7,79
25-08-1976,168,238,3.4,81
26-08-1976,73,215,8,86
27-08-1976,NA,153,5.7,88
28-08-1976,76,203,9.7,97
29-08-1976,118,225,2.3,94
30-08-1976,84,237,6.3,96
31-08-1976,85,188,6.3,94
01-09-1976,96,167,6.9,91
02-09-1976,78,197,5.1,92
03-09-1976,73,183,2.8,93
04-09-1976,91,189,4.6,93
05-09-1976,47,95,7.4,87
06-09-1976,32,92,15.5,84
07-09-1976,20,252,10.9,80
08-09-1976,23,220,10.3,78
09-09-1976,21,230,10.9,75
10-09-1976,24,259,9.7,73
11-09-1976,44,236,14.9,81
12-09-1976,21,259,15.5,76
13-09-1976,28,238,6.3,77
14-09-1976,9,24,10.9,71
15-09-1976,13,112,11.5,71
16-09-1976,46,237,6.9,78
17-09-1976,18,224,13.8,67
18-09-1976,13,27,10.3,76
19-09-1976,24,238,10.3,68
20-09-1976,16,201,8,82
21-09-1976,13,238,12.6,64
22-09-1976,23,14,9.2,71
23-09-1976,36,139,10.3,81
24-09-1976,7,49,10.3,69
25-09-1976,14,20,16.6,63
26-09-1976,30,193,6.9,70
27-09-1976,NA,145,13.2,77
28-09-1976,14,191,14.3,75
29-09-1976,18,131,8,76
30-09-1976,20,223,11.5,68
