Year,Month,Quarter,Airline,Type,PassengerToIndia,PassengerFromIndia,FreightToIndia,FreightFromIndia
2015,JAN,Q1,AIR INDIA,DOMESTIC,258876,274220,3320.626,4186.302
2015,JAN,Q1,AIR INDIA EXPRESS,DOMESTIC,95581,116600,0,0
2015,JAN,Q1,INDIGO,DOMESTIC,68112,74212,320,1812
2015,JAN,Q1,JET AIRWAYS,DOMESTIC,320853,332116,4173.874,5383.515
2015,JAN,Q1,SPICEJET,DOMESTIC,37882,42468,0,115.68
2015,JAN,Q1,AEROFLOT,FOREIGN,5088,6901,7.581,199.696
2015,JAN,Q1,AEROLOGIC,FOREIGN,0,0,1.409,1.235
2015,JAN,Q1,AIR ARABIA,FOREIGN,77405,79096,191.549,1096.201
2015,JAN,Q1,AIR ASIA BERHAD,FOREIGN,25906,27950,33.524,307.431
2015,JAN,Q1,AIR AUSTRAL,FOREIGN,0,0,0,0
2015,JAN,Q1,AIR CHINA,FOREIGN,4004,4047,159.159,191.009
2015,JAN,Q1,AIR FRANCE,FOREIGN,20204,22839,726.368,1365.611
2015,JAN,Q1,AIR MANAS,FOREIGN,0,0,0,0
2015,JAN,Q1,AIR MAURITIUS,FOREIGN,5987,7219,27.508,263.285
2015,JAN,Q1,AIR ASTANA,FOREIGN,2608,3080,0,25.509
2015,JAN,Q1,AIR SEYCHELLES,FOREIGN,1253,1300,0.514,1.635
2015,JAN,Q1,ALL NIPPON AIRWAYS,FOREIGN,4749,6232,138.017,433.677
2015,JAN,Q1,ARIANA AFGHAN,FOREIGN,2342,2276,0.525,8.38
2015,JAN,Q1,ASIANA AIRLINES,FOREIGN,3113,3271,23.322,50.076
2015,JAN,Q1,AUSTRIAN AIRLINES,FOREIGN,4694,5334,159.844,235.783
2015,JAN,Q1,BANGKOK AIRWAYS,FOREIGN,3924,4094,3.039,65.793
2015,JAN,Q1,BHUTAN AIRLINES,FOREIGN,0,0,0,0
2015,JAN,Q1,BIMAN BANGLADESH,FOREIGN,2313,2950,0.179,66.32
2015,JAN,Q1,BRITISH AIRWAYS,FOREIGN,6096,6578,200.62,378.5
2015,JAN,Q1,BUDHHA AIR,FOREIGN,213,179,0,0
2015,JAN,Q1,CATHAY PACIFIC,FOREIGN,28540,32556,5063.944,13006.667
2015,JAN,Q1,CHINA AIRLINES LTD,FOREIGN,1787,3909,69.317,110.205
2015,JAN,Q1,CHINA EASTERN AIRLINES,FOREIGN,7880,7451,180.781,204.954
2015,JAN,Q1,CHINA SOUTHERN ,FOREIGN,4836,5105,43.034,74.131
2015,JAN,Q1,DELTA AIRLINES,FOREIGN,7292,8183,35.307,3.205
2015,JAN,Q1,DRAGON AIR,FOREIGN,6788,8033,296.367,221.835
2015,JAN,Q1,DRUK AIR,FOREIGN,3386,2163,0.369,2.215
2015,JAN,Q1,EGYPT AIR,FOREIGN,1132,1454,5.404,10.464
2015,JAN,Q1,EL-AL-ISRAEL,FOREIGN,3576,3421,79.783,134.103
2015,JAN,Q1,EMIRATES AIRLINE,FOREIGN,246941,256369,3629.517,11303.549
2015,JAN,Q1,ETHIOPIAN AIRLINES,FOREIGN,8990,13206,112.053,983.557
2015,JAN,Q1,ETIHAD AIRLINES,FOREIGN,79148,83464,986.985,1912.326
2015,JAN,Q1,EVA AIRWAYS,FOREIGN,0,0,0,0
2015,JAN,Q1,FEDERAL EXPRESS,FOREIGN,0,0,1073.6,1986.116
2015,JAN,Q1,FINN AIR,FOREIGN,4362,5425,177.154,362.39
2015,JAN,Q1,FLY DUBAI,FOREIGN,17166,18236,10.062,219.271
2015,JAN,Q1,GULF AIR,FOREIGN,36296,38139,160.5,473.566
2015,JAN,Q1,IRAN AIR,FOREIGN,1492,1169,0.414,40.501
2015,JAN,Q1,IRAQI AIRWAYS,FOREIGN,0,0,0,0
2015,JAN,Q1,ISLAND AVIATION SERVICES,FOREIGN,6242,7974,9.17,92.416
2015,JAN,Q1,JAPAN AIRLINES,FOREIGN,4439,4085,385.569,282.414
2015,JAN,Q1,KALITTA AIR,FOREIGN,0,0,939.255,902.37
2015,JAN,Q1,KAM AIR,FOREIGN,5000,3000,0,250.125
2015,JAN,Q1,KENYA AIRWAYS,FOREIGN,6805,9307,18.153,264.215
2015,JAN,Q1,KLM AIRLINES,FOREIGN,23614,24722,314.652,650.026
2015,JAN,Q1,KOREAN AIR,FOREIGN,5156,6644,745.9,211.186
2015,JAN,Q1,KUWAIT AIRWAYS,FOREIGN,17827,21514,428.144,748.616
2015,JAN,Q1,LUFTHANSA,FOREIGN,51900,52767,2561.526,2508.418
2015,JAN,Q1,MAHAN AIR,FOREIGN,1227,1261,11.197,113.626
2015,JAN,Q1,MALAYSIA AIRLINES,FOREIGN,42177,49943,1128.048,1040.577
2015,JAN,Q1,MALINDO AIRWAYS,FOREIGN,14973,13965,0,3.09
2015,JAN,Q1,MARTIN AIR HOLLAND,FOREIGN,0,0,716.669,583.345
2015,JAN,Q1,MIHIN LANKA,FOREIGN,3469,3461,0,0
2015,JAN,Q1,MYANMAR AIRLINES,FOREIGN,873,666,0,0
2015,JAN,Q1,NEPAL AIRLINES CORPORATION,FOREIGN,0,0,0,0
2015,JAN,Q1,OMAN AIR,FOREIGN,59186,62337,61.044,772.401
2015,JAN,Q1,PAK INTERNATIONAL,FOREIGN,1565,2463,11.826,35.17
2015,JAN,Q1,QATAR AIRWATYS,FOREIGN,83673,87601,2543.966,5152.565
2015,JAN,Q1,REGENT AIRWAYS,FOREIGN,2586,2635,0,0
2015,JAN,Q1,SAFI AIRWAYS,FOREIGN,2074,1941,2.451,18.796
2015,JAN,Q1,SAUDIA,FOREIGN,63090,71131,192.1,2150.76
2015,JAN,Q1,SILK AIR,FOREIGN,16240,23414,43.157,170.588
2015,JAN,Q1,SINGAPORE AIRLINES,FOREIGN,49177,56694,2420.342,2413.372
2015,JAN,Q1,SOUTHA AFRICAN AIRLINES,FOREIGN,4278,6226,12.333,286.207
2015,JAN,Q1,SRILNKAN AIRWAYS,FOREIGN,54471,56447,871.113,1396.576
2015,JAN,Q1,SWISS AIR,FOREIGN,12071,13195,678.333,864.921
2015,JAN,Q1,TAJIK AIR,FOREIGN,215,205,0,3.624
2015,JAN,Q1,THAI AIRWAYS,FOREIGN,56883,59686,2356.77,1860.784
2015,JAN,Q1,TIGER AIRWAYS,FOREIGN,26192,26113,82.751,350.718
2015,JAN,Q1,TRANSAERO AIRLINES,FOREIGN,4278,4638,0,0
2015,JAN,Q1,TURKISH AIRLINES,FOREIGN,18202,18087,508.52,921.249
2015,JAN,Q1,TURKMENISTAN AIRLINES,FOREIGN,3512,4109,0,22.254
2015,JAN,Q1,UNITED AIRLINES,FOREIGN,14288,14957,326.066,226.08
2015,JAN,Q1,UNITED AIRLINES BANGLADESH LTD.,FOREIGN,546,675,0,0
2015,JAN,Q1,UNITED PARCEL SERVICES,FOREIGN,0,0,490.073,435.834
