id,city,room_type,bedrooms,bathrooms,accommodates,min_nights,reviews,price
1,Delhi,Private room,2,3,3,2,11,4955
2,Goa,Shared room,1,2,5,1,25,5025
3,Mumbai,Shared room,1,2,4,3,97,4556
4,Delhi,Shared room,4,2,1,4,95,5559
5,Goa,Private room,4,1,5,3,45,6528
6,Goa,Entire home,2,1,6,3,6,4915
7,Goa,Entire home,4,3,5,2,89,7303
8,Goa,Entire home,1,1,6,1,88,4573
9,Mumbai,Entire home,4,1,1,1,38,4659
10,Goa,Shared room,1,3,6,1,51,5654
11,Mumbai,Shared room,2,2,3,4,16,4525
12,Bangalore,Entire home,3,3,4,3,151,6241
13,Delhi,Entire home,3,3,2,4,3,6246
14,Goa,Entire home,1,1,3,4,90,3124
15,Bangalore,Private room,3,3,2,3,174,5380
16,Delhi,Shared room,2,3,7,4,122,7417
17,Delhi,Entire home,4,1,6,2,157,6698
18,Delhi,Entire home,4,3,4,3,2,7316
19,Bangalore,Private room,4,2,3,3,133,6403
20,Mumbai,Entire home,2,1,5,3,121,4367
21,Bangalore,Shared room,3,2,3,3,199,5603
22,Goa,Private room,2,3,2,1,15,4827
23,Goa,Private room,3,2,5,4,78,6440
24,Bangalore,Private room,4,2,1,4,163,5850
25,Delhi,Entire home,3,1,3,4,180,5158
26,Mumbai,Entire home,2,2,3,3,103,4687
27,Mumbai,Entire home,3,2,5,4,118,6077
28,Mumbai,Private room,4,2,3,4,7,6251
29,Mumbai,Private room,4,3,5,3,179,7312
30,Delhi,Shared room,1,1,1,4,102,3194
31,Mumbai,Private room,1,2,3,3,179,3866
32,Delhi,Entire home,3,2,7,3,157,7102
33,Goa,Entire home,2,1,2,3,183,3904
34,Delhi,Private room,4,2,3,3,113,6470
35,Goa,Shared room,2,3,5,2,139,5372
36,Mumbai,Private room,3,1,5,4,195,5123
37,Bangalore,Private room,3,2,2,4,122,5500
38,Goa,Private room,2,3,2,2,55,5012
39,Goa,Entire home,1,2,5,4,88,4653
40,Delhi,Entire home,3,3,6,1,68,7071
41,Bangalore,Entire home,4,2,5,2,117,6644
42,Goa,Private room,1,3,3,1,115,4667
43,Delhi,Shared room,3,2,5,2,185,5757
44,Mumbai,Private room,1,3,2,2,93,4184
45,Goa,Private room,4,3,3,2,102,7066
46,Mumbai,Entire home,3,3,5,4,139,6646
47,Goa,Entire home,2,3,1,4,82,4639
48,Goa,Private room,3,1,2,1,3,4719
49,Bangalore,Shared room,2,3,6,1,165,6514
50,Goa,Entire home,1,3,1,2,135,3398
51,Delhi,Shared room,2,3,3,2,29,5471
52,Mumbai,Shared room,2,3,2,1,78,4889
53,Mumbai,Private room,3,1,3,1,11,5185
54,Mumbai,Private room,3,2,4,2,11,5794
55,Goa,Private room,4,1,2,2,16,5442
56,Delhi,Shared room,1,3,3,2,60,4096
57,Goa,Entire home,2,1,1,2,123,3140
58,Bangalore,Entire home,1,1,3,1,103,2959
59,Delhi,Private room,4,3,5,3,191,6875
60,Goa,Entire home,1,2,7,1,187,4604
61,Goa,Shared room,1,3,5,1,129,5305
62,Bangalore,Shared room,3,3,1,3,146,5430
63,Goa,Entire home,1,2,3,3,181,4176
64,Bangalore,Shared room,4,2,2,4,28,6281
65,Goa,Shared room,2,3,1,4,192,4887
66,Delhi,Shared room,1,2,3,1,85,3396
67,Bangalore,Private room,4,3,4,1,73,7398
68,Delhi,Private room,3,2,5,3,136,6287
69,Delhi,Entire home,2,3,1,3,139,5057
