year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2020,12,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",44,3,1.63,0,0.12,0,1.25,0,1,89,56,0,3,0,30
2020,12,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",90,1,0.96,0,0.04,0,0,0,0,23,22,0,1,0,0
2020,12,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",88,8,5.75,0,1.6,0,0.65,0,1,338,265,0,45,0,28
2020,12,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",184,9,4.17,0,1.83,0,3,0,0,508,192,0,92,0,224
2020,12,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",76,11,4.78,0,5.22,0,1,1,0,692,398,0,178,0,116
2020,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5985,445,142.89,11.96,161.37,1,127.79,5,0,30756,16390,1509,5060,16,7781
2020,12,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",142,14,5.36,0,7.7,0,0.94,1,0,436,162,0,182,0,92
2020,12,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",147,10,6.04,1,1,0,1.96,0,1,1070,838,141,24,0,67
2020,12,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",84,14,6.24,0.96,6.8,0,0,1,1,2006,1164,619,223,0,0
2020,12,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",150,19,5.7,0,12.07,0,1.23,3,0,846,423,0,389,0,34
2020,12,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",123,9,6.82,0,1.18,0,1,0,0,572,527,0,26,0,19
2020,12,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",25,7,0.34,0,3.54,0,3.11,2,0,278,13,0,93,0,172
2020,12,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",59,5,3.15,0,1.48,0,0.37,0,0,218,155,0,47,0,16
2020,12,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",2,1,0,0,1,0,0,0,0,20,0,0,20,0,0
2020,12,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",21,3,1,0.71,1.29,0,0,0,0,158,17,81,60,0,0
