buying price,maintenance cost,number of doors,number of persons,luggage boot,safety,decision
vhigh,vhigh,2,2,small,low,unacceptable
vhigh,vhigh,2,2,small,med,unacceptable
vhigh,vhigh,2,2,small,high,unacceptable
vhigh,vhigh,2,2,med,low,unacceptable
vhigh,vhigh,2,2,med,med,unacceptable
vhigh,vhigh,2,2,med,high,unacceptable
vhigh,vhigh,2,2,big,low,unacceptable
vhigh,vhigh,2,2,big,med,unacceptable
vhigh,vhigh,2,2,big,high,unacceptable
vhigh,vhigh,2,4,small,low,unacceptable
vhigh,vhigh,2,4,small,med,unacceptable
vhigh,vhigh,2,4,small,high,unacceptable
vhigh,vhigh,2,4,med,low,unacceptable
vhigh,vhigh,2,4,med,med,unacceptable
vhigh,vhigh,2,4,med,high,unacceptable
vhigh,vhigh,2,4,big,low,unacceptable
vhigh,vhigh,2,4,big,med,unacceptable
vhigh,vhigh,2,4,big,high,unacceptable
vhigh,vhigh,2,more,small,low,unacceptable
vhigh,vhigh,2,more,small,med,unacceptable
vhigh,vhigh,2,more,small,high,unacceptable
vhigh,vhigh,2,more,med,low,unacceptable
vhigh,vhigh,2,more,med,med,unacceptable
vhigh,vhigh,2,more,med,high,unacceptable
vhigh,vhigh,2,more,big,low,unacceptable
vhigh,vhigh,2,more,big,med,unacceptable
vhigh,vhigh,2,more,big,high,unacceptable
vhigh,vhigh,3,2,small,low,unacceptable
vhigh,vhigh,3,2,small,med,unacceptable
vhigh,vhigh,3,2,small,high,unacceptable
vhigh,vhigh,3,2,med,low,unacceptable
vhigh,vhigh,3,2,med,med,unacceptable
vhigh,vhigh,3,2,med,high,unacceptable
vhigh,vhigh,3,2,big,low,unacceptable
vhigh,vhigh,3,2,big,med,unacceptable
vhigh,vhigh,3,2,big,high,unacceptable
vhigh,vhigh,3,4,small,low,unacceptable
vhigh,vhigh,3,4,small,med,unacceptable
vhigh,vhigh,3,4,small,high,unacceptable
vhigh,vhigh,3,4,med,low,unacceptable
vhigh,vhigh,3,4,med,med,unacceptable
vhigh,vhigh,3,4,med,high,unacceptable
vhigh,vhigh,3,4,big,low,unacceptable
vhigh,vhigh,3,4,big,med,unacceptable
vhigh,vhigh,3,4,big,high,unacceptable
vhigh,vhigh,3,more,small,low,unacceptable
vhigh,vhigh,3,more,small,med,unacceptable
vhigh,vhigh,3,more,small,high,unacceptable
vhigh,vhigh,3,more,med,low,unacceptable
vhigh,vhigh,3,more,med,med,unacceptable
vhigh,vhigh,3,more,med,high,unacceptable
vhigh,vhigh,3,more,big,low,unacceptable
vhigh,vhigh,3,more,big,med,unacceptable
vhigh,vhigh,3,more,big,high,unacceptable
vhigh,vhigh,4,2,small,low,unacceptable
vhigh,vhigh,4,2,small,med,unacceptable
vhigh,vhigh,4,2,small,high,unacceptable
vhigh,vhigh,4,2,med,low,unacceptable
vhigh,vhigh,4,2,med,med,unacceptable
vhigh,vhigh,4,2,med,high,unacceptable
vhigh,vhigh,4,2,big,low,unacceptable
vhigh,vhigh,4,2,big,med,unacceptable
vhigh,vhigh,4,2,big,high,unacceptable
vhigh,vhigh,4,4,small,low,unacceptable
vhigh,vhigh,4,4,small,med,unacceptable
vhigh,vhigh,4,4,small,high,unacceptable
vhigh,vhigh,4,4,med,low,unacceptable
vhigh,vhigh,4,4,med,med,unacceptable
vhigh,vhigh,4,4,med,high,unacceptable
vhigh,vhigh,4,4,big,low,unacceptable
vhigh,vhigh,4,4,big,med,unacceptable
vhigh,vhigh,4,4,big,high,unacceptable
vhigh,vhigh,4,more,small,low,unacceptable
vhigh,vhigh,4,more,small,med,unacceptable
vhigh,vhigh,4,more,small,high,unacceptable
vhigh,vhigh,4,more,med,low,unacceptable
vhigh,vhigh,4,more,med,med,unacceptable
vhigh,vhigh,4,more,med,high,unacceptable
vhigh,vhigh,4,more,big,low,unacceptable
vhigh,vhigh,4,more,big,med,unacceptable
vhigh,vhigh,4,more,big,high,unacceptable
vhigh,vhigh,5more,2,small,low,unacceptable
vhigh,vhigh,5more,2,small,med,unacceptable
vhigh,vhigh,5more,2,small,high,unacceptable
vhigh,vhigh,5more,2,med,low,unacceptable
vhigh,vhigh,5more,2,med,med,unacceptable
vhigh,vhigh,5more,2,med,high,unacceptable
vhigh,vhigh,5more,2,big,low,unacceptable
vhigh,vhigh,5more,2,big,med,unacceptable
vhigh,vhigh,5more,2,big,high,unacceptable
vhigh,vhigh,5more,4,small,low,unacceptable
vhigh,vhigh,5more,4,small,med,unacceptable
vhigh,vhigh,5more,4,small,high,unacceptable
