Make,Colour,Odometer (KM),Doors,Price
Nissan,Black,10148,4,Rs1366850
Toyota,White,10217,4,Rs1144150
Toyota,White,10247,4,Rs1628300
Honda,White,10953,4,Rs831800
Nissan,Blue,10954,4,Rs1521950
Honda,Red,11035,4,Rs530100
BMW,Black,11049,3,Rs975000
Honda,White,11119,4,Rs1042250
Toyota,White,12141,4,Rs877800
Toyota,Red,13050,4,Rs453700
Honda,White,13116,4,Rs823200
,Black,13266,4,Rs725100
Toyota,White,14497,4,Rs991900
Toyota,Blue,14645,4,Rs1066300
Honda,White,14700,4,Rs1348650
Honda,Red,16079,4,Rs497700
BMW,White,16274,5,Rs2622900
Honda,Black,16933,4,Rs608600
Nissan,Green,17119,4,Rs308000
Toyota,Blue,17609,4,
Toyota,Black,17975,4,Rs897000
Nissan,Blue,18044,3,Rs711350
Honda,White,18246,4,Rs1084200
BMW,White,18394,5,
Toyota,White,18812,4,Rs1132150
Honda,White,18933,4,Rs400700
Nissan,,18994,4,Rs390650
Nissan,White,19134,4,Rs1171950
Nissan,White,19265,4,Rs1072550
,White,19482,3,Rs1560400
Nissan,White,20315,4,Rs406850
Toyota,Black,20714,4,Rs1520350
Toyota,White,20985,4,Rs1667650
Toyota,White,21083,4,Rs1766650
Honda,Blue,21146,4,Rs1153200
Honda,White,21393,4,Rs1024500
Toyota,White,22257,4,Rs1393400
Honda,,22409,4,Rs521450
Toyota,White,22788,4,Rs339200
Toyota,Blue,23241,4,Rs710150
,Blue,23545,4,Rs696600
Toyota,Blue,23637,4,
BMW,White,23996,5,Rs2411950
Nissan,White,24077,4,Rs777050
Honda,White,24180,4,Rs485500
Nissan,Blue,24219,3,Rs514150
Honda,White,24358,4,Rs1333750
Nissan,White,24420,4,Rs709900
Nissan,White,24741,4,Rs1042000
Toyota,Black,24764,4,Rs442800
Honda,White,25729,4,Rs457750
Toyota,White,26191,4,Rs768600
BMW,White,26531,5,Rs970400
Honda,Blue,26616,4,Rs476050
Nissan,White,26634,4,Rs601200
Toyota,White,26655,4,Rs587450
Toyota,Black,26798,4,Rs1413800
Honda,Blue,26824,4,Rs1421100
BMW,Green,26839,5,Rs761200
Toyota,Black,26979,4,Rs1771600
,Black,27139,4,Rs1146050
Honda,Black,27788,4,Rs945950
Nissan,Blue,28390,3,Rs325200
Honda,Blue,28561,4,Rs710200
Honda,,28625,4,Rs437650
Honda,White,28791,4,Rs952600
Toyota,White,28809,4,Rs1106950
Honda,White,29514,4,Rs967850
BMW,White,29534,5,Rs1420700
Honda,White,29541,4,Rs434500
Toyota,Red,29689,4,Rs437150
Toyota,Blue,29856,4,Rs569600
Honda,White,30080,4,Rs921450
Honda,Blue,30120,4,Rs317850
Toyota,White,30334,4,Rs1784350
Honda,,30615,4,Rs1482650
BMW,Blue,31277,5,Rs906950
Honda,White,31418,4,Rs1140800
Honda,Blue,31677,4,Rs1087700
Toyota,White,32748,4,Rs1516150
Nissan,Green,32754,4,Rs657300
Honda,,33261,4,Rs1405200
BMW,,33320,3,Rs1394400
Toyota,Red,33400,4,Rs619900
Toyota,Blue,33461,4,
BMW,Red,33911,5,
Nissan,Blue,34024,4,Rs1196450
Toyota,Blue,34097,4,Rs1007100
Toyota,Blue,34521,4,Rs1509550
Honda,White,34822,4,Rs730650
Honda,White,35431,4,Rs766150
Toyota,White,35673,4,Rs1784150
BMW,Red,35807,5,Rs879800
Toyota,Black,35820,4,Rs1602100
BMW,Blue,35837,3,Rs1659900
Toyota,White,36463,4,Rs840250
BMW,White,37513,5,Rs1618950
Honda,Green,37606,4,Rs662750
Honda,Blue,37625,4,Rs312050
Honda,Blue,37678,4,Rs318050
Toyota,Green,37703,4,
