Brand,Year,Fuel,Transmission,Engine,Max_Power,Torque,Seats,Mileage,KM_Driven,Owner,Seller_Type,Selling_Price
Maruti Swift Dzire VDI,2014,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,23.4 kmpl,145500,First Owner,Individual,450000
Skoda Rapid 1.5 TDI Ambition,2014,Diesel,Manual,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5,21.14 kmpl,120000,Second Owner,Individual,370000
Honda City 2017-2020 EXi,2006,Petrol,Manual,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5,17.7 kmpl,140000,Third Owner,Individual,158000
Hyundai i20 Sportz Diesel,2010,Diesel,Manual,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,23.0 kmpl,127000,First Owner,Individual,225000
Maruti Swift VXI BSIII,2007,Petrol,Manual,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5,16.1 kmpl,120000,First Owner,Individual,130000
Hyundai Xcent 1.2 VTVT E Plus,2017,Petrol,Manual,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,20.14 kmpl,45000,First Owner,Individual,440000
Maruti Wagon R LXI DUO BSIII,2007,LPG,Manual,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5,17.3 km/kg,175000,First Owner,Individual,96000
Maruti 800 DX BSII,2001,Petrol,Manual,796 CC,37 bhp,59Nm@ 2500rpm,4,16.1 kmpl,5000,Second Owner,Individual,45000
Toyota Etios VXD,2011,Diesel,Manual,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5,23.59 kmpl,90000,First Owner,Individual,350000
Ford Figo Diesel Celebration Edition,2013,Diesel,Manual,1399 CC,68.1 bhp,160Nm@ 2000rpm,5,20.0 kmpl,169000,First Owner,Individual,200000
Renault Duster 110PS Diesel RxL,2014,Diesel,Manual,1461 CC,108.45 bhp,248Nm@ 2250rpm,5,19.01 kmpl,68000,Second Owner,Individual,500000
Maruti Zen LX,2005,Petrol,Manual,993 CC,60 bhp,78Nm@ 4500rpm,5,17.3 kmpl,100000,Second Owner,Individual,92000
Maruti Swift Dzire VDi,2009,Diesel,Manual,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,19.3 kmpl,140000,Second Owner,Individual,280000
Maruti Swift 1.3 VXi,2007,Petrol,Manual,,,,,,80000,Second Owner,Individual,200000
Maruti Wagon R LXI Minor,2009,Petrol,Manual,1061 CC,67 bhp,84Nm@ 3500rpm,5,18.9 kmpl,90000,Second Owner,Individual,180000
Mahindra KUV 100 mFALCON G80 K8 5str,2016,Petrol,Manual,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5,18.15 kmpl,40000,First Owner,Individual,400000
Maruti Ertiga SHVS VDI,2016,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,24.52 kmpl,70000,Second Owner,Individual,778000
Hyundai i20 1.4 CRDi Asta,2012,Diesel,Manual,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,23.0 kmpl,53000,Second Owner,Individual,500000
Maruti Alto LX,2002,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,80000,Second Owner,Individual,150000
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,Diesel,Manual,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,22.54 kmpl,100000,First Owner,Individual,680000
Mahindra Verito 1.5 D4 BSIII,2011,Diesel,Manual,1461 CC,64.1 bhp,160Nm@ 2000rpm,5,21.0 kmpl,100000,Second Owner,Individual,174000
Honda WR-V i-DTEC VX,2017,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,25.5 kmpl,50000,First Owner,Individual,950000
Maruti Swift Dzire ZDI,2015,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,26.59 kmpl,40000,First Owner,Individual,525000
Maruti SX4 ZDI,2012,Diesel,Manual,1248 CC,88.8 bhp,200Nm@ 1750rpm,5,21.5 kmpl,72000,First Owner,Individual,600000
Tata Tigor 2017-2020 XZ,2018,Petrol,Manual,1199 CC,83.81 bhp,114Nm@ 3500rpm,5,20.3 kmpl,35000,First Owner,Individual,500000
Maruti Baleno Delta 1.2,2016,Petrol,Manual,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,21.4 kmpl,45000,First Owner,Individual,575000
Maruti Alto 800 LXI,2017,Petrol,Manual,796 CC,47.3 bhp,69Nm@ 3500rpm,5,24.7 kmpl,28000,First Owner,Individual,275000
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,Diesel,Manual,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7,18.2 kmpl,70000,First Owner,Individual,300000
Maruti Wagon R LXI Minor,2009,Petrol,Manual,1061 CC,67 bhp,84Nm@ 3500rpm,5,18.9 kmpl,120000,First Owner,Individual,220000
Maruti Omni E MPI STD BS IV,2018,Petrol,Manual,796 CC,34.2 bhp,59Nm@ 2500rpm,8,16.8 kmpl,25000,First Owner,Individual,254999
Maruti Vitara Brezza LDi Option,2017,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,24.3 kmpl,70000,First Owner,Individual,670000
Fiat Palio 1.2 ELX,2003,Petrol,Manual,,,,,,50000,Second Owner,Individual,70000
Maruti Omni 8 Seater BSIV,2012,Petrol,Manual,796 CC,35 bhp,6.1kgm@ 3000rpm,5,14.0 kmpl,35000,Second Owner,Individual,150000
Hyundai i20 1.2 Asta Dual Tone,2018,Petrol,Manual,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,18.6 kmpl,2388,First Owner,Individual,730000
Maruti Vitara Brezza LDi,2017,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,24.3 kmpl,16200,First Owner,Individual,650000
Maruti Alto 800 CNG LXI Optional,2019,CNG,Manual,796 CC,40.3 bhp,60Nm@ 3500rpm,4,33.44 km/kg,10000,Second Owner,Individual,330000
Maruti Alto K10 VXI Airbag,2019,Petrol,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,23.95 kmpl,15000,First Owner,Individual,366000
Hyundai Verna VTVT 1.6 SX Option,2019,Petrol,Manual,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,17.0 kmpl,5000,First Owner,Individual,1149000
Datsun GO D,2016,Petrol,Manual,1198 CC,67 bhp,104Nm@ 4000rpm,5,20.63 kmpl,42000,First Owner,Individual,150000
Tata Safari DICOR 2.2 LX 4x2,2011,Diesel,Manual,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7,13.93 kmpl,60000,Second Owner,Individual,425000
Maruti 800 Std,2012,Petrol,Manual,796 CC,37 bhp,59Nm@ 2500rpm,4,16.1 kmpl,76000,First Owner,Individual,150000
Jeep Compass 1.4 Limited Plus BSIV,2019,Petrol,Automatic,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5,16.0 kmpl,5000,First Owner,Individual,2100000
Honda City i VTEC VX,2018,Petrol,Manual,1497 CC,117.3 bhp,145Nm@ 4600rpm,5,17.8 kmpl,28900,First Owner,Dealer,925000
Honda City V MT,2013,Petrol,Manual,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,16.8 kmpl,86300,First Owner,Dealer,425000
Maruti Swift Dzire VXi AT,2018,Petrol,Automatic,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,18.5 kmpl,23300,First Owner,Dealer,675000
Maruti Vitara Brezza VDi,2018,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,24.3 kmpl,32600,First Owner,Dealer,819999
Maruti Alto K10 VXI,2018,Petrol,Manual,998 CC,67.05 bhp,90Nm@ 3500rpm,5,23.95 kmpl,10300,First Owner,Dealer,390000
Toyota Fortuner 4x4 MT,2014,Diesel,Manual,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,12.55 kmpl,77000,First Owner,Dealer,1500000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,Diesel,Manual,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7,12.99 kmpl,99000,First Owner,Dealer,700000
