Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather,,,,,,,,,,,,
17314.10313,8221,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1,,,,,,,,,,,,
17542.03608,9135,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,,,,,,,,,,,,
16218.84786,13196,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,,,,,,,,,,,,
16336.91314,16342,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,0,,,,,,,,,,,,
16339.17032,19832,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1,,,,,,,,,,,,
15709.05282,22236,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,,,,,,,,,,,,
15230.00339,22576,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,,,,,,,,,,,,
15048.04218,22964,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0,,,,,,,,,,,,
14862.09387,24021,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1,,,,,,,,,,,,
15295.01827,27325,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1,,,,,,,,,,,,
21335.85248,10237,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0,,,,,,,,,,,,
20538.08751,15066,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0,,,,,,,,,,,,
20512.09409,16633,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0,,,,,,,,,,,,
19924.15905,19800,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1,,,,,,,,,,,,
19774.24907,23359,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1,,,,,,,,,,,,
19344.16554,23765,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0,,,,,,,,,,,,
19105.13012,24008,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0,,,,,,,,,,,,
18543.42705,26034,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1,,,,,,,,,,,,
17808.199,32896,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0,,,,,,,,,,,,
17968.83828,34665,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1,,,,,,,,,,,,
22358.87768,8970,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,0,,,,,,,,,,,,
