Price,SpeedGHz,HDisk,RAM,Screen,Branded,Gaming,MultiCore
14990,25,80,4,14,no,no,yes
17950,33,85,2,14,no,no,yes
15950,25,170,4,15,no,no,yes
18490,25,170,8,14,no,no,no
32950,33,340,16,14,no,no,yes
36950,66,340,16,14,no,no,yes
17200,25,170,4,14,yes,no,yes
19950,50,85,2,14,no,no,yes
22250,50,210,8,14,no,no,yes
25750,50,210,4,15,no,no,yes
21950,33,170,8,15,no,no,yes
26050,66,210,8,14,no,no,yes
20450,50,130,4,14,no,no,yes
22950,25,245,8,14,no,no,yes
26990,50,212,8,14,no,no,yes
22250,50,130,4,14,no,no,yes
15950,33,85,2,14,no,no,yes
23250,33,210,4,15,no,no,yes
20950,33,250,4,15,no,no,yes
43950,66,452,8,14,no,no,yes
16950,33,130,4,14,no,no,yes
27950,66,130,4,14,no,no,yes
28950,25,340,16,14,no,no,yes
28750,50,210,4,17,no,no,yes
41950,50,452,8,14,no,no,yes
12900,33,80,2,14,no,no,yes
19750,33,130,4,14,no,no,yes
39950,33,452,8,14,no,no,yes
30950,33,340,16,14,no,no,yes
32440,66,245,8,14,no,no,yes
19200,33,170,4,14,yes,no,yes
19950,25,130,4,14,no,no,yes
25950,33,210,8,17,no,no,yes
24750,50,210,4,15,no,no,yes
19990,33,170,4,14,no,no,yes
26750,66,210,4,15,no,no,yes
23250,66,210,8,14,no,no,yes
37950,66,500,8,14,no,no,yes
24050,50,210,8,14,no,no,yes
24250,50,210,8,14,no,no,yes
28950,50,245,8,14,no,no,yes
38950,66,500,8,15,no,no,yes
24990,33,212,8,14,no,no,yes
22550,33,210,8,14,no,no,yes
34950,50,340,16,14,no,no,yes
26950,33,245,8,14,no,no,yes
21950,33,130,4,14,no,no,yes
17490,25,120,4,14,no,no,yes
23990,50,212,4,14,no,no,yes
19950,33,250,4,14,no,no,yes
24990,33,170,4,14,no,no,yes
23950,33,130,4,14,no,no,yes
29950,66,340,8,15,no,no,yes
21900,33,210,4,14,no,no,yes
21990,33,212,8,14,no,no,no
21250,50,130,4,14,no,no,yes
20450,66,130,4,14,no,no,yes
30750,66,210,4,17,no,no,yes
29450,66,210,8,17,no,no,yes
19450,50,130,4,14,no,no,yes
39900,66,330,8,15,no,no,yes
17950,33,170,4,15,no,no,yes
24950,33,250,8,15,no,no,yes
22200,33,250,4,14,yes,no,yes
21950,66,85,2,14,no,no,yes
14950,25,170,4,14,no,no,yes
23250,66,130,4,14,no,no,yes
14990,25,120,4,14,no,no,yes
21990,33,212,4,14,no,no,yes
30950,66,245,8,14,no,no,yes
40200,66,500,8,14,yes,no,yes
27250,33,210,4,17,no,no,yes
16950,33,170,4,14,no,no,yes
30440,50,245,8,14,no,no,yes
29990,50,170,4,14,no,no,yes
28440,33,245,8,14,no,no,yes
19750,33,210,8,14,no,no,yes
32200,66,340,8,15,yes,no,yes
25950,50,130,4,14,no,no,yes
16290,25,80,8,14,no,no,no
33990,66,230,4,15,no,no,yes
24950,33,245,8,14,no,no,yes
29900,66,210,8,15,no,no,yes
27200,33,250,8,15,yes,no,yes
25950,25,245,8,14,no,no,yes
19990,33,120,8,14,no,no,no
20750,33,210,8,14,no,no,yes
17950,33,130,4,14,no,no,yes
13950,25,85,2,14,no,no,yes
34900,50,330,8,14,no,no,yes
29750,50,210,4,17,no,no,yes
21450,66,130,4,14,no,no,yes
24200,33,170,8,15,yes,no,yes
25050,50,210,8,14,no,no,yes
29950,66,340,16,14,no,no,yes
14950,25,170,4,14,no,no,yes
19990,33,170,4,14,no,no,yes
19200,33,170,4,14,yes,no,yes
25950,25,340,16,14,no,no,yes
16950,33,170,4,14,no,no,yes
19950,33,250,4,14,no,no,yes
21950,25,245,8,14,no,no,yes
17950,66,85,2,14,no,no,yes
29990,66,330,4,15,no,no,yes
13950,25,85,2,14,no,no,yes
29950,66,250,8,17,no,no,yes
26990,50,212,8,14,no,no,yes
17200,25,170,4,14,yes,no,yes
20450,66,170,4,14,no,no,yes
21450,66,170,4,14,no,no,yes
29950,66,340,8,15,no,no,yes
20950,33,130,4,14,no,no,yes
38950,50,452,8,14,no,no,yes
28950,50,340,16,14,no,no,yes
14990,25,170,4,14,no,no,yes
31650,66,250,4,17,no,no,yes
25250,50,250,4,15,no,no,yes
23250,66,250,8,14,no,no,yes
24990,33,170,4,14,no,no,yes
27990,33,230,4,14,no,no,yes
17950,33,170,4,14,no,no,yes
21990,33,210,4,14,no,no,yes
23550,50,250,8,14,no,no,yes
32200,66,340,8,15,yes,no,yes
24200,33,170,8,15,yes,no,yes
25440,33,245,8,14,no,no,yes
29450,50,250,4,17,no,no,yes
22950,33,245,8,14,no,no,yes
14950,33,85,2,14,no,no,yes
20650,50,170,4,14,no,no,yes
22950,66,130,4,14,no,no,yes
17990,25,170,4,14,no,no,yes
22200,33,250,4,14,yes,no,yes
20750,50,170,4,14,no,no,yes
17490,25,120,4,14,no,no,yes
21950,25,245,8,14,no,no,yes
22550,50,250,8,14,no,no,yes
23950,33,250,4,15,no,no,yes
27200,33,250,8,15,yes,no,yes
21950,50,130,4,14,no,no,yes
22250,33,250,8,14,no,no,yes
40200,66,500,8,14,yes,no,yes
24750,50,250,8,14,no,no,yes
19750,50,170,4,14,no,no,yes
39950,66,452,8,14,no,no,yes
25950,66,245,8,14,no,no,yes
22950,66,170,4,14,no,no,yes
21990,33,212,4,14,no,no,yes
19750,33,250,8,14,no,no,yes
38950,66,500,8,15,no,no,yes
20950,33,250,4,15,no,no,yes
22250,33,250,8,15,no,no,yes
35990,66,330,8,14,no,no,yes
20750,33,250,8,14,no,no,yes
24990,33,212,8,14,no,no,yes
25750,66,250,8,15,no,no,yes
29990,50,170,4,14,no,no,yes
21950,33,170,8,15,no,no,yes
30650,50,250,4,17,no,no,yes
33990,66,230,4,15,no,no,yes
19950,33,130,4,14,no,no,yes
15950,25,170,4,15,no,no,yes
26450,50,250,4,15,no,no,yes
23450,50,250,8,14,no,no,yes
27950,33,340,16,14,no,no,yes
18950,25,130,4,14,no,no,yes
24950,50,245,8,14,no,no,yes
25990,50,210,4,14,no,no,yes
15950,33,85,2,14,no,no,yes
19990,33,120,8,14,no,no,no
24250,66,250,8,14,no,no,yes
24950,33,250,8,15,no,no,yes
17950,33,170,4,15,no,no,yes
27440,66,245,8,14,no,no,yes
37950,33,452,8,14,no,no,yes
27450,66,250,4,15,no,no,yes
23990,50,212,4,14,no,no,yes
26450,33,250,8,17,no,no,yes
19450,33,170,4,14,no,no,yes
16950,50,85,2,14,no,no,yes
21950,50,170,4,14,no,no,yes
28150,33,250,4,17,no,no,yes
18990,25,120,4,14,no,no,yes
26440,50,245,8,14,no,no,yes
37950,66,500,8,14,no,no,yes
23950,33,245,8,14,no,no,yes
16950,33,170,4,14,no,no,yes
25750,66,250,8,14,no,no,yes
26950,33,340,16,14,no,no,yes
29990,66,245,16,15,no,no,yes
18990,33,170,4,14,no,no,yes
24990,50,210,4,14,no,no,yes
19990,33,213,8,14,no,no,yes
20550,50,170,4,14,no,no,yes
20650,50,170,4,14,no,no,yes
20550,33,250,8,14,no,no,yes
20990,33,212,4,14,no,no,yes
19950,33,130,4,14,no,no,yes
22200,33,250,4,14,yes,no,yes
32200,66,340,8,15,yes,no,yes
39950,66,452,8,14,no,no,yes
27850,33,250,8,17,no,no,yes
24750,50,250,8,15,no,no,yes
14990,25,170,4,14,no,no,yes
15950,33,85,2,14,no,no,yes
20990,66,120,4,14,no,no,yes
28850,66,170,8,15,no,no,yes
37950,33,452,8,14,no,no,yes
22950,66,170,4,14,no,no,yes
38950,66,500,8,15,no,no,yes
23950,33,245,8,14,no,no,yes
31350,66,250,8,17,no,no,yes
24200,33,170,8,15,yes,no,yes
21250,66,170,4,14,no,no,yes
29850,66,250,8,17,no,no,yes
13950,25,85,2,14,no,no,yes
22950,33,245,8,14,no,no,yes
20950,33,130,4,14,no,no,yes
27950,33,340,16,14,no,no,yes
19450,33,170,4,14,no,no,yes
26350,33,250,8,17,no,no,yes
26950,66,250,8,15,no,no,yes
21990,50,213,8,14,no,no,yes
38950,50,452,8,14,no,no,yes
25990,50,212,8,14,no,no,yes
27450,66,170,8,14,no,no,yes
19200,33,170,4,14,yes,no,yes
28950,50,340,16,14,no,no,yes
21990,33,210,4,14,no,no,yes
29150,50,250,8,17,no,no,yes
19990,33,120,8,14,no,no,no
27200,33,250,8,15,yes,no,yes
19990,33,170,4,14,no,no,yes
21950,33,170,8,15,no,no,yes
21950,25,245,8,14,no,no,yes
22950,66,130,4,14,no,no,yes
15950,25,170,4,15,no,no,yes
16950,33,170,4,14,no,no,yes
14950,25,170,4,14,no,no,yes
37950,66,500,8,14,no,no,yes
16990,33,120,4,14,no,no,yes
18950,25,130,4,14,no,no,yes
23350,50,250,8,14,no,no,yes
24950,50,245,8,14,no,no,yes
25750,66,250,8,14,no,no,yes
24950,33,250,8,15,no,no,yes
32990,66,245,16,15,no,no,yes
26990,66,213,8,14,no,no,yes
16950,50,85,2,14,no,no,yes
29990,66,170,4,14,no,no,yes
23990,66,213,8,14,no,no,yes
14990,25,170,4,14,no,no,yes
23950,33,170,8,14,no,no,yes
