X1,X2,X3,X4,X5,X6,X7,X8,default
27.1,10,139,80,1.441,0,0,57,0
30.1,1,189,60,0.398,23,846,59,1
25.8,5,166,72,0.587,19,175,51,1
30,7,100,0,0.484,0,0,32,1
45.8,0,118,84,0.551,47,230,31,1
29.6,7,107,74,0.254,0,0,31,1
43.3,1,103,30,0.183,38,83,33,0
34.6,1,115,70,0.529,30,96,32,1
39.3,3,126,88,0.704,41,235,27,0
35.4,8,99,84,0.388,0,0,50,0
39.8,7,196,90,0.451,0,0,41,1
29,9,119,80,0.263,35,0,29,1
36.6,11,143,94,0.254,33,146,51,1
31.1,10,125,70,0.205,26,115,41,1
39.4,7,147,76,0.257,0,0,43,1
23.2,1,97,66,0.487,15,140,22,0
22.2,13,145,82,0.245,19,110,57,0
34.1,5,117,92,0.337,0,0,38,0
36,5,109,75,0.546,26,0,60,0
31.6,3,158,76,0.851,36,245,28,1
24.8,3,88,58,0.267,11,54,22,0
19.9,6,92,92,0.188,0,0,28,0
27.6,10,122,78,0.512,31,0,45,0
24,4,103,60,0.966,33,192,33,0
33.2,11,138,76,0.42,0,0,35,0
32.9,9,102,76,0.665,37,0,46,1
38.2,2,90,68,0.503,42,0,27,1
37.1,4,111,72,1.39,47,207,56,1
34,3,180,64,0.271,25,70,26,0
40.2,7,133,84,0.696,0,0,37,0
22.7,7,106,92,0.235,18,0,48,0
45.4,9,171,110,0.721,24,240,54,1
27.4,7,159,64,0.294,0,0,40,0
42,0,180,66,1.893,39,0,25,1
29.7,1,146,56,0.564,0,0,29,0
33.6,6,148,72,0.627,35,0,50,1
26.6,1,85,66,0.351,29,0,31,0
23.3,8,183,64,0.672,0,0,32,1
28.1,1,89,66,0.167,23,94,21,0
43.1,0,137,40,2.288,35,168,33,1
25.6,5,116,74,0.201,0,0,30,0
31,3,78,50,0.248,32,88,26,1
35.3,10,115,0,0.134,0,0,29,0
30.5,2,197,70,0.158,45,543,53,1
0,8,125,96,0.232,0,0,54,1
37.6,4,110,92,0.191,0,0,30,0
38,10,168,74,0.537,0,0,34,1
28,2,71,70,0.586,27,0,22,0
39.1,7,103,66,0.344,32,0,31,1
0,7,105,0,0.305,0,0,24,0
19.4,1,103,80,0.491,11,82,22,0
24.2,1,101,50,0.526,15,36,26,0
24.4,5,88,66,0.342,21,23,30,0
33.7,8,176,90,0.467,34,300,58,1
34.7,7,150,66,0.718,42,342,42,0
23,1,73,50,0.248,10,0,21,0
37.7,7,187,68,0.254,39,304,41,1
46.8,0,100,88,0.962,60,110,31,0
40.5,0,146,82,1.781,0,0,44,0
