Size (sqft),Bedrooms,Age (years),Price (INR)
1626,3,18,11701546
1959,4,29,13922948
1360,3,1,9419375
1794,3,20,11461102
1630,4,11,11289976
1595,1,25,11034602
2224,2,5,15618906
1544,1,22,11015967
2138,2,3,16002771
621,2,22,4433937
966,2,10,7045884
1738,3,23,12160090
830,2,26,6236217
1982,2,16,14079700
587,3,5,4583552
1896,2,23,14046478
1623,3,4,11584492
1371,1,19,9321518
2187,4,1,15722144
630,3,5,5078121
2185,2,21,15435713
1832,1,10,13304319
1269,3,15,8548512
843,3,15,5466957
2015,3,0,13982481
1937,3,8,12995308
1305,1,27,8970149
885,2,26,5819987
1715,2,5,12670105
1455,3,15,9539387
776,3,28,6079461
1684,2,2,11377399
959,1,19,5953884
1837,2,27,12276674
521,2,26,4462640
752,3,3,5363957
1247,3,18,8963717
1356,3,25,9300054
2084,2,2,14622960
974,2,18,6485059
1582,3,19,11059371
1010,3,6,7407299
2205,3,19,16234152
1999,3,8,13125765
1199,2,0,9298410
1475,3,7,10668980
2306,2,6,15998118
689,1,17,4429138
1457,2,7,10750837
1186,1,0,8466489
1457,3,10,9481967
1062,2,27,7445534
2399,3,24,17275185
2090,4,24,15018932
1767,2,17,11985571
1331,2,22,8525996
2028,3,29,13893013
1654,2,9,13214992
2008,1,2,13313500
2342,2,6,16012632
1146,2,27,8048020
520,4,15,3627737
1340,3,25,9179897
666,3,15,5674360
1797,3,24,12062370
887,3,19,6161859
1100,2,27,7630953
815,3,16,5292631
513,3,1,3010673
741,3,0,5471658
1276,3,15,9838833
1869,2,29,13095291
1064,2,11,7483036
1397,2,4,9880365
1863,2,4,12971791
591,3,26,4618741
1890,3,22,12907278
1455,1,8,9476607
1978,3,8,13125173
1951,2,2,13776504
1008,2,18,7506346
1275,2,15,8993742
2466,2,15,17053315
534,4,2,4147220
705,2,19,4938106
1604,3,23,11561095
2455,3,21,17788251
2085,2,23,13987804
2395,4,0,15795201
1911,4,23,13171231
1525,2,19,10075329
1521,2,10,11062979
1913,2,16,12968833
1065,2,7,6547110
1629,1,3,11135899
2295,3,5,15419012
2345,3,7,17290078
2000,1,19,14095820
1202,2,29,8547779
901,4,2,6755013
