Units,Cost
1,95.1
1.2,96.5
1.2,73.7
1.2,95.6
1.3,98.8
1.3,100
1.3,94.8
1.4,67.2
1.4,72.9
1.5,62
1.5,69.3
1.6,64.6
1.6,77.7
1.6,58.4
1.7,51.4
1.7,60.9
1.7,81.9
1.7,60.6
1.8,74.1
1.8,71.6
1.8,78
1.8,57.7
1.8,53
1.8,69.2
1.8,70.4
1.8,36.1
1.8,81.5
1.8,59.6
1.8,63.4
1.9,55
1.9,58.1
1.9,52.1
1.9,61.3
2,62.6
2,61.2
2,60
2.1,47.9
2.1,54.9
2.1,54.2
2.1,60.2
2.1,44.7
2.1,45.6
2.1,57.8
2.2,52
2.2,54.1
2.2,73.8
2.2,56.5
2.2,61.1
2.2,68
2.3,47.3
2.3,48.8
2.3,75.5
2.3,64
2.3,51.4
2.3,65.3
2.3,54
2.3,60.7
2.4,42.1
2.4,40.5
2.4,66.7
2.4,57.8
2.4,84.2
2.4,52.1
2.5,59.1
2.5,71.4
2.5,44.4
2.5,46.4
2.5,61.9
2.5,53.9
2.5,50.4
2.6,39.7
2.6,55.1
2.6,53.4
2.6,69.3
2.6,52.8
2.6,52.3
2.6,55.6
2.6,46.5
2.6,53.4
2.6,51.9
2.6,47.5
2.6,52.9
2.7,48.6
2.7,49
2.7,50.4
2.7,48.3
2.7,46.9
2.7,53.2
2.7,54.4
2.7,61.2
2.7,35
2.7,52.3
2.7,54.3
2.8,46.8
2.8,55.6
2.8,48.3
2.8,50.2
2.8,63.5
2.8,58.2
2.8,52.8
2.8,51.5
2.8,39.6
2.8,57.5
2.8,45.2
2.8,62.6
2.8,38.8
2.8,48.7
2.8,51.5
2.9,63.5
2.9,57.9
2.9,47
2.9,57.3
2.9,50.8
2.9,45.3
2.9,55.2
2.9,56.2
2.9,51.2
2.9,52.7
2.9,51.2
2.9,48.1
2.9,51.8
2.9,49.8
2.9,38.8
2.9,34.4
3,54.2
3,60.9
3,45.3
3,52.6
3,42.4
3,43.5
3,58.6
3,53.4
3,60.3
3,40.4
3,50.3
3,44.1
3,54.5
3.1,49.4
3.1,49.1
3.1,42.5
3.1,59.2
3.1,50.1
3.1,40.9
3.1,46.3
3.1,37.1
3.1,46.1
3.1,55.6
3.1,57.9
3.1,46.5
3.1,42.5
3.1,42.2
3.1,41.5
3.1,40.6
3.1,46.5
3.1,35.1
3.1,43.3
