Category,Species,Weight,Height,Width,Length1,Length2,Length3
1,Bream,242,11.52,4.02,23.2,25.4,30
1,Bream,290,12.48,4.3056,24,26.3,31.2
1,Bream,340,12.3778,4.6961,23.9,26.5,31.1
1,Bream,363,12.73,4.4555,26.3,29,33.5
1,Bream,430,12.444,5.134,26.5,29,34
1,Bream,450,13.6024,4.9274,26.8,29.7,34.7
1,Bream,500,14.1795,5.2785,26.8,29.7,34.5
1,Bream,390,12.67,4.69,27.6,30,35
1,Bream,450,14.0049,4.8438,27.6,30,35.1
1,Bream,500,14.2266,4.9594,28.5,30.7,36.2
1,Bream,475,14.2628,5.1042,28.4,31,36.2
1,Bream,500,14.3714,4.8146,28.7,31,36.2
1,Bream,500,13.7592,4.368,29.1,31.5,36.4
1,Bream,340,13.9129,5.0728,29.5,32,37.3
1,Bream,600,14.9544,5.1708,29.4,32,37.2
1,Bream,600,15.438,5.58,29.4,32,37.2
1,Bream,700,14.8604,5.2854,30.4,33,38.3
1,Bream,700,14.938,5.1975,30.4,33,38.5
1,Bream,610,15.633,5.1338,30.9,33.5,38.6
1,Bream,650,14.4738,5.7276,31,33.5,38.7
1,Bream,575,15.1285,5.5695,31.3,34,39.5
1,Bream,685,15.9936,5.3704,31.4,34,39.2
1,Bream,620,15.5227,5.2801,31.5,34.5,39.7
1,Bream,680,15.4686,6.1306,31.8,35,40.6
1,Bream,700,16.2405,5.589,31.9,35,40.5
1,Bream,725,16.36,6.0532,31.8,35,40.9
1,Bream,720,16.3618,6.09,32,35,40.6
1,Bream,714,16.517,5.8515,32.7,36,41.5
1,Bream,850,16.8896,6.1984,32.8,36,41.6
1,Bream,1000,18.957,6.603,33.5,37,42.6
1,Bream,920,18.0369,6.3063,35,38.5,44.1
1,Bream,955,18.084,6.292,35,38.5,44
1,Bream,925,18.7542,6.7497,36.2,39.5,45.3
1,Bream,975,18.6354,6.7473,37.4,41,45.9
1,Bream,950,17.6235,6.3705,38,41,46.5
5,Roach,40,4.1472,2.268,12.9,14.1,16.2
5,Roach,69,5.2983,2.8217,16.5,18.2,20.3
5,Roach,78,5.5756,2.9044,17.5,18.8,21.2
5,Roach,87,5.6166,3.1746,18.2,19.8,22.2
5,Roach,120,6.216,3.5742,18.6,20,22.2
5,Roach,0,6.4752,3.3516,19,20.5,22.8
5,Roach,110,6.1677,3.3957,19.1,20.8,23.1
5,Roach,120,6.1146,3.2943,19.4,21,23.7
5,Roach,150,5.8045,3.7544,20.4,22,24.7
5,Roach,145,6.6339,3.5478,20.5,22,24.3
5,Roach,160,7.0334,3.8203,20.5,22.5,25.3
5,Roach,140,6.55,3.325,21,22.5,25
5,Roach,160,6.4,3.8,21.1,22.5,25
5,Roach,169,7.5344,3.8352,22,24,27.2
5,Roach,161,6.9153,3.6312,22,23.4,26.7
5,Roach,200,7.3968,4.1272,22.1,23.5,26.8
5,Roach,180,7.0866,3.906,23.6,25.2,27.9
5,Roach,290,8.8768,4.4968,24,26,29.2
5,Roach,272,8.568,4.7736,25,27,30.6
5,Roach,390,9.485,5.355,29.5,31.7,35
7,Whitefish,270,8.3804,4.2476,23.6,26,28.7
7,Whitefish,270,8.1454,4.2485,24.1,26.5,29.3
7,Whitefish,306,8.778,4.6816,25.6,28,30.8
7,Whitefish,540,10.744,6.562,28.5,31,34
7,Whitefish,800,11.7612,6.5736,33.7,36.4,39.6
7,Whitefish,1000,12.354,6.525,37.3,40,43.5
2,Parkki,55,6.8475,2.3265,13.5,14.7,16.5
2,Parkki,60,6.5772,2.3142,14.3,15.5,17.4
2,Parkki,90,7.4052,2.673,16.3,17.7,19.8
2,Parkki,120,8.3922,2.9181,17.5,19,21.3
2,Parkki,150,8.8928,3.2928,18.4,20,22.4
2,Parkki,140,8.5376,3.2944,19,20.7,23.2
2,Parkki,170,9.396,3.4104,19,20.7,23.2
2,Parkki,145,9.7364,3.1571,19.8,21.5,24.1
2,Parkki,200,10.3458,3.6636,21.2,23,25.8
2,Parkki,273,11.088,4.144,23,25,28
2,Parkki,300,11.368,4.234,24,26,29
3,Perch,5.9,2.112,1.408,7.5,8.4,8.8
3,Perch,32,3.528,1.9992,12.5,13.7,14.7
3,Perch,40,3.824,2.432,13.8,15,16
3,Perch,51.5,4.5924,2.6316,15,16.2,17.2
3,Perch,70,4.588,2.9415,15.7,17.4,18.5
3,Perch,100,5.2224,3.3216,16.2,18,19.2
3,Perch,78,5.1992,3.1234,16.8,18.7,19.4
3,Perch,80,5.6358,3.0502,17.2,19,20.2
3,Perch,85,5.1376,3.0368,17.8,19.6,20.8
3,Perch,85,5.082,2.772,18.2,20,21
3,Perch,110,5.6925,3.555,19,21,22.5
3,Perch,115,5.9175,3.3075,19,21,22.5
3,Perch,125,5.6925,3.6675,19,21,22.5
3,Perch,130,6.384,3.534,19.3,21.3,22.8
3,Perch,120,6.11,3.4075,20,22,23.5
3,Perch,120,5.64,3.525,20,22,23.5
3,Perch,130,6.11,3.525,20,22,23.5
3,Perch,135,5.875,3.525,20,22,23.5
3,Perch,110,5.5225,3.995,20,22,23.5
3,Perch,130,5.856,3.624,20.5,22.5,24
3,Perch,150,6.792,3.624,20.5,22.5,24
3,Perch,145,5.9532,3.63,20.7,22.7,24.2
3,Perch,150,5.2185,3.626,21,23,24.5
3,Perch,170,6.275,3.725,21.5,23.5,25
3,Perch,225,7.293,3.723,22,24,25.5
3,Perch,145,6.375,3.825,22,24,25.5
3,Perch,188,6.7334,4.1658,22.6,24.6,26.2
3,Perch,180,6.4395,3.6835,23,25,26.5
3,Perch,197,6.561,4.239,23.5,25.6,27
3,Perch,218,7.168,4.144,25,26.5,28
3,Perch,300,8.323,5.1373,25.2,27.3,28.7
3,Perch,260,7.1672,4.335,25.4,27.5,28.9
3,Perch,265,7.0516,4.335,25.4,27.5,28.9
3,Perch,250,7.2828,4.5662,25.4,27.5,28.9
3,Perch,250,7.8204,4.2042,25.9,28,29.4
3,Perch,300,7.5852,4.6354,26.9,28.7,30.1
3,Perch,320,7.6156,4.7716,27.8,30,31.6
3,Perch,514,10.03,6.018,30.5,32.8,34
3,Perch,556,10.2565,6.3875,32,34.5,36.5
3,Perch,840,11.4884,7.7957,32.5,35,37.3
3,Perch,685,10.881,6.864,34,36.5,39
3,Perch,700,10.6091,6.7408,34,36,38.3
3,Perch,700,10.835,6.2646,34.5,37,39.4
3,Perch,690,10.5717,6.3666,34.6,37,39.3
3,Perch,900,11.1366,7.4934,36.5,39,41.4
3,Perch,650,11.1366,6.003,36.5,39,41.4
3,Perch,820,12.4313,7.3514,36.6,39,41.3
3,Perch,850,11.9286,7.1064,36.9,40,42.3
3,Perch,900,11.73,7.225,37,40,42.5
3,Perch,1015,12.3808,7.4624,37,40,42.4
3,Perch,820,11.135,6.63,37.1,40,42.5
3,Perch,1100,12.8002,6.8684,39,42,44.6
3,Perch,1000,11.9328,7.2772,39.8,43,45.2
3,Perch,1100,12.5125,7.4165,40.1,43,45.5
3,Perch,1000,12.604,8.142,40.2,43.5,46
3,Perch,1000,12.4888,7.5958,41.1,44,46.6
4,Pike,200,5.568,3.3756,30,32.3,34.8
4,Pike,300,5.7078,4.158,31.7,34,37.8
4,Pike,300,5.9364,4.3844,32.7,35,38.8
4,Pike,300,6.2884,4.0198,34.8,37.3,39.8
4,Pike,430,7.29,4.5765,35.5,38,40.5
4,Pike,345,6.396,3.977,36,38.5,41
4,Pike,456,7.28,4.3225,40,42.5,45.5
4,Pike,510,6.825,4.459,40,42.5,45.5
4,Pike,540,7.786,5.1296,40.1,43,45.8
4,Pike,500,6.96,4.896,42,45,48
4,Pike,567,7.792,4.87,43.2,46,48.7
4,Pike,770,7.68,5.376,44.8,48,51.2
4,Pike,950,8.9262,6.1712,48.3,51.7,55.1
4,Pike,1250,10.6863,6.9849,52,56,59.7
4,Pike,1600,9.6,6.144,56,60,64
4,Pike,1550,9.6,6.144,56,60,64
4,Pike,1650,10.812,7.48,59,63.4,68
6,Smelt,6.7,1.7388,1.0476,9.3,9.8,10.8
