Model,Company,Color,Type,Average Rating,Number of Ratings,Selling Price,Maximum Retail Price,Discount
5PLUS 5PHP28 Wired without Mic Headset,5PLUS,Red, On the Ear,3.6,101,496,3399,2903
A R Wireless compatible with Headset Bluetooth SPORT ME...,A R,Red, Multicolor,3.9,35280,188,799,611
Aerizo Wireless Touch R100 Earbuds (Black) Bluetooth He...,Aerizo,Black, True Wireless,4,1934,589,1298,709
Allmusic powerful driven bass with dynamic beats powere...,Allmusic,Multicolor, In the Ear,4,15841,260,1599,1339
Allmusic OPP.O Ultra HD Sound Premium Bass Sports /Gym/...,Allmusic,Black, In the Ear,3.8,10766,270,999,729
"Allmusic Op.po F11 pro,A3s,F9 Pro,K1,A5,A7,F9,F7,A5s,F5...",Allmusic,Black, In the Ear,3.7,85,199,749,550
Aloof A31 Bluetooth Headset,Aloof,Green, In the Ear,3.9,809,599,1599,1000
Aloof A31 Bluetooth Headset,Aloof,Green, In the Ear,3.9,809,599,1599,1000
ALTRONICS High Bass Universal Wired Earphone Mic For V1...,ALTRONICS,White, In the Ear,4,41082,299,599,300
Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,Indigo Blue, True Wireless,3.9,4849,985,1799,814
Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,Black, True Wireless,3.9,4849,987,1799,812
Ambrane BassBand Beat Bluetooth Headset,Ambrane,Grey, In the Ear,4.2,120,759,2999,2240
Ambrane BassBand Lite Bluetooth Headset,Ambrane,Black, In the Ear,3.9,73755,788,1399,611
Ambrane BassBand Lite Bluetooth Headset,Ambrane,Black, In the Ear,3.8,679,788,1299,511
Ambrane BassBand Beat Bluetooth Headset,Ambrane,Black, In the Ear,3.8,1316,759,1499,740
Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,White, True Wireless,3.4,20,999,990,-9
Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,Pink, True Wireless,4,389,949,1799,850
AMJ Wireless Magnet Bluetooth EarphoneSports for Runnin...,AMJ,Black, In the Ear,4,3,139,349,210
"AMJ Audio Headsets with 10mm Drivers, Sports Bluetooth ...",AMJ,Black, In the Ear,4.4,23,369,799,430
AMJ HBS_730Bluetooth Bluetooth Headset,AMJ,Black, In the Ear,3.5,140,220,699,479
AMJ Sports 9-R1 Wireless Bluetooth Bluetooth Headset,AMJ,Yellow, In the Ear,4.4,20395,238,899,661
AMJ Sports 9-R1 Wireless Bluetooth Bluetooth Headset,AMJ,Yellow, In the Ear,3.9,10398,238,899,661
APPLE MNHF2ZM/A Wired Headset,APPLE,White, In the Ear,4.1,11138,1900,4495,2595
ARHUB A1 bluetooth o for Viv_o/Hono_r/Sam_sung/IOS/Op_p...,ARHUB,Black, True Wireless,5,0,225,599,374
ARHUB A1 bluetooth o for Viv_o/Hono_r/Sam_sung/IOS/Op_p...,ARHUB,Black, True Wireless,3,0,225,599,374
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neck...,Aroma,Black, In the Ear,4,29426,459,1499,1040
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,4.2,58523,699,2499,1800
Aroma NB119C Carter - 36 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.7,92346,449,1999,1550
Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,Aroma,Blue, In the Ear,3.8,631,649,2499,1850
Aroma NB120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,3.4,183,379,1999,1620
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,Aroma,Black, In the Ear,4.1,14148,649,2499,1850
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4.2,1299042,533,2499,1966
Aroma NB119D Dream - 48 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,4.1,166582,599,1999,1400
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,4,21398,699,2499,1800
Aroma NB120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,4,9619,379,1999,1620
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4,2834,533,2499,1966
Aroma NB119 Pro Belief- 30 Hours Playtime Bluetooth Nec...,Aroma,Black, In the Ear,4,41625,439,1499,1060
Aroma NB119 Rock - 40 Hours Playtime Bluetooth Neckband...,Aroma,Black, In the Ear,4,2909,669,2999,2330
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma NB136A Rifle Gaming Earbuds Bluetooth Gaming Head...,Aroma,Black, True Wireless,4,30895,854,2499,1645
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.7,134,533,2499,1966
Aroma NB119 Champion - 50 Hours Playtime Bluetooth Neck...,Aroma,Blue, In the Ear,4,0,649,2999,2350
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
