Fruit Category,Fruit Name,Fruit Weight,Fruit Width,Fruit Length,Fruit Colour Score
1,Apple,192,8.4,7.3,0.55
1,Apple,180,8,6.8,0.59
1,Apple,176,7.4,7.2,0.6
1,Apple,178,7.1,7.8,0.92
1,Apple,172,7.4,7,0.89
1,Apple,166,6.9,7.3,0.93
1,Apple,172,7.1,7.6,0.92
1,Apple,154,7,7.1,0.88
1,Apple,164,7.3,7.7,0.7
1,Apple,152,7.6,7.3,0.69
1,Apple,156,7.7,7.1,0.69
1,Apple,156,7.6,7.5,0.67
1,Apple,168,7.5,7.6,0.73
1,Apple,162,7.5,7.1,0.83
1,Apple,162,7.4,7.2,0.85
1,Apple,160,7.5,7.5,0.86
1,Apple,156,7.4,7.4,0.84
1,Apple,140,7.3,7.1,0.87
1,Apple,170,7.6,7.9,0.88
2,Orange,86,6.2,4.7,0.8
2,Orange,84,6,4.6,0.79
2,Orange,80,5.8,4.3,0.77
2,Orange,80,5.9,4.3,0.81
2,Orange,76,5.8,4,0.81
2,Orange,342,9,9.4,0.75
2,Orange,356,9.2,9.2,0.75
2,Orange,362,9.6,9.2,0.74
2,Orange,204,7.5,9.2,0.77
2,Orange,140,6.7,7.1,0.72
2,Orange,160,7,7.4,0.81
2,Orange,158,7.1,7.5,0.79
2,Orange,210,7.8,8,0.82
2,Orange,164,7.2,7,0.8
2,Orange,190,7.5,8.1,0.74
2,Orange,142,7.6,7.8,0.75
2,Orange,150,7.1,7.9,0.75
2,Orange,160,7.1,7.6,0.76
2,Orange,154,7.3,7.3,0.79
2,Orange,158,7.2,7.8,0.77
2,Orange,144,6.8,7.4,0.75
2,Orange,154,7.1,7.5,0.78
2,Orange,180,7.6,8.2,0.79
2,Orange,154,7.2,7.2,0.82
3,Lemon,97,7.2,10.3,0.7
3,Lemon,70,7.3,10.5,0.72
3,Lemon,93,7.2,9.2,0.72
3,Lemon,80,7.3,10.2,0.71
3,Lemon,98,7.3,9.7,0.72
3,Lemon,87,7.3,10.1,0.72
3,Lemon,66,5.8,8.7,0.73
3,Lemon,65,6,8.2,0.71
3,Lemon,58,6,7.5,0.72
3,Lemon,59,5.9,8,0.72
3,Lemon,60,6,8.4,0.74
3,Lemon,58,6.1,8.5,0.71
3,Lemon,58,6.3,7.7,0.72
3,Lemon,58,5.9,8.1,0.73
3,Lemon,76,6.5,8.5,0.72
3,Lemon,59,6.1,8.1,0.7
