Horsepower,Fuel Economy
119,30
177,25
220,24
188,24
219,24
176,25
272,18
295,18
127,29
164,29
322,18
121,30
156,28
192,24
212,26
260,21
237,24
192,25
124,30
137,32
213,24
233,23
123,32
141,29
244,22
179,24
259,22
232,25
92,32
120,31
350,15
176,27
313,16
283,16
139,28
302,16
228,24
50,35
153,28
253,21
219,24
173,28
244,22
187,27
228,22
133,27
197,25
245,20
162,28
134,31
151,26
291,18
246,23
251,21
273,21
200,24
252,23
285,19
202,23
174,26
231,21
290,21
221,24
213,22
189,24
182,26
246,20
85,35
312,18
316,17
224,24
300,17
176,27
262,22
259,22
221,22
215,23
321,16
259,21
237,20
199,24
250,22
217,22
233,22
225,22
239,20
332,16
107,32
204,25
343,10
238,20
206,26
228,25
132,30
261,18
163,28
267,16
244,20
141,30
185,26
