Mfr Name,Carline,Eng Displ,Cylinders,Transmission,CityMPG,HwyMPG,CombMPG,# Gears
aston martin,Vantage V8,4,8,Auto(S8),18,25,21,8
Volkswagen Group of,Chiron,8,16,Auto(AM-S7),9,14,11,7
General Motors,CORVETTE,6.2,8,Auto(S8),12,20,15,8
General Motors,CORVETTE,6.2,8,Auto(S8),15,25,18,8
General Motors,CORVETTE,6.2,8,Auto(S8),14,23,17,8
General Motors,CORVETTE,6.2,8,Manual(M7),13,19,15,7
General Motors,CORVETTE,6.2,8,Manual(M7),15,22,17,7
General Motors,CORVETTE,6.2,8,Manual(M7),16,25,19,7
Ferrari,488 gtb,3.9,8,Auto(AM7),16,22,18,7
Ferrari,488 gtb,3.9,8,Auto(AM7),15,22,18,7
Ferrari,488 Pista,3.9,8,Auto(AM7),15,20,17,7
Ferrari,488 Pista Spider,3.9,8,Auto(AM7),15,19,17,7
Ferrari,488 Spider,3.9,8,Auto(AM7),16,22,18,7
Ferrari,488 Spider,3.9,8,Auto(AM7),15,22,18,7
Ferrari,812 Superfast,6.5,12,Auto(AM7),12,16,13,7
FCA US LLC,124 Spider,1.4,4,Auto(A6),25,36,29,6
FCA US LLC,124 Spider,1.4,4,Manual(M6),26,35,30,6
Jaguar Land Rover L,F-TYPE Convertible,2,4,Auto(S8),23,30,26,8
Jaguar Land Rover L,F-TYPE Convertible,3,6,Auto(S8),20,28,23,8
Jaguar Land Rover L,F-TYPE Convertible Manual,3,6,Manual(M6),16,24,19,6
Jaguar Land Rover L,F-TYPE Coupe,2,4,Auto(S8),23,30,26,8
Jaguar Land Rover L,F-TYPE Coupe,3,6,Auto(S8),20,28,23,8
Jaguar Land Rover L,F-TYPE Coupe Manual,3,6,Manual(M6),16,24,19,6
Jaguar Land Rover L,F-TYPE S AWD Convertible,3,6,Auto(S8),18,26,21,8
Jaguar Land Rover L,F-TYPE S AWD Coupe,3,6,Auto(S8),18,26,21,8
Jaguar Land Rover L,F-TYPE S Convertible,3,6,Auto(S8),19,27,22,8
Jaguar Land Rover L,F-TYPE S Convertible Manual,3,6,Manual(M6),15,24,18,6
Jaguar Land Rover L,F-TYPE S Coupe,3,6,Auto(S8),19,27,22,8
Jaguar Land Rover L,F-TYPE S Coupe Manual,3,6,Manual(M6),15,24,18,6
Volkswagen Group of,Aventador Coupe,6.5,12,Auto(AM-S7),9,15,11,7
Volkswagen Group of,Aventador Roadster,6.5,12,Auto(AM-S7),9,15,11,7
