Year,Continent,Country,Population,Life_Expectancy,GDP_per_Capita
1952,Asia,Afghanistan,8425333,28.801,779.4453145
1957,Asia,Afghanistan,9240934,30.332,820.8530296
1962,Asia,Afghanistan,10267083,31.997,853.10071
1967,Asia,Afghanistan,11537966,34.02,836.1971382
1972,Asia,Afghanistan,13079460,36.088,739.9811058
1977,Asia,Afghanistan,14880372,38.438,786.11336
1982,Asia,Afghanistan,12881816,39.854,978.0114388
1987,Asia,Afghanistan,13867957,40.822,852.3959448
1992,Asia,Afghanistan,16317921,41.674,649.3413952
1997,Asia,Afghanistan,22227415,41.763,635.341351
2002,Asia,Afghanistan,25268405,42.129,726.7340548
2007,Asia,Afghanistan,31889923,43.828,974.5803384
1952,Europe,Albania,1282697,55.23,1601.056136
1957,Europe,Albania,1476505,59.28,1942.284244
1962,Europe,Albania,1728137,64.82,2312.888958
1967,Europe,Albania,1984060,66.22,2760.196931
1972,Europe,Albania,2263554,67.69,3313.422188
1977,Europe,Albania,2509048,68.93,3533.00391
1982,Europe,Albania,2780097,70.42,3630.880722
1987,Europe,Albania,3075321,72,3738.932735
1992,Europe,Albania,3326498,71.581,2497.437901
1997,Europe,Albania,3428038,72.95,3193.054604
2002,Europe,Albania,3508512,75.651,4604.211737
2007,Europe,Albania,3600523,76.423,5937.029526
1952,Africa,Algeria,9279525,43.077,2449.008185
1957,Africa,Algeria,10270856,45.685,3013.976023
1962,Africa,Algeria,11000948,48.303,2550.81688
1967,Africa,Algeria,12760499,51.407,3246.991771
1972,Africa,Algeria,14760787,54.518,4182.663766
1977,Africa,Algeria,17152804,58.014,4910.416756
1982,Africa,Algeria,20033753,61.368,5745.160213
1987,Africa,Algeria,23254956,65.799,5681.358539
1992,Africa,Algeria,26298373,67.744,5023.216647
1997,Africa,Algeria,29072015,69.152,4797.295051
2002,Africa,Algeria,31287142,70.994,5288.040382
2007,Africa,Algeria,33333216,72.301,6223.367465
1952,Africa,Angola,4232095,30.015,3520.610273
1957,Africa,Angola,4561361,31.999,3827.940465
1962,Africa,Angola,4826015,34,4269.276742
1967,Africa,Angola,5247469,35.985,5522.776375
1972,Africa,Angola,5894858,37.928,5473.288005
1977,Africa,Angola,6162675,39.483,3008.647355
1982,Africa,Angola,7016384,39.942,2756.953672
1987,Africa,Angola,7874230,39.906,2430.208311
1992,Africa,Angola,8735988,40.647,2627.845685
1997,Africa,Angola,9875024,40.963,2277.140884
2002,Africa,Angola,10866106,41.003,2773.287312
2007,Africa,Angola,12420476,42.731,4797.231267
1952,Americas,Argentina,17876956,62.485,5911.315053
1957,Americas,Argentina,19610538,64.399,6856.856212
1962,Americas,Argentina,21283783,65.142,7133.166023
1967,Americas,Argentina,22934225,65.634,8052.953021
1972,Americas,Argentina,24779799,67.065,9443.038526
1977,Americas,Argentina,26983828,68.481,10079.02674
1982,Americas,Argentina,29341374,69.942,8997.897412
1987,Americas,Argentina,31620918,70.774,9139.671389
1992,Americas,Argentina,33958947,71.868,9308.41871
1997,Americas,Argentina,36203463,73.275,10967.28195
