MedianIncome,HouseAge,NoOfRooms,NoofBedrooms,price,property_type,high_value
1.775,40,3,2,1.125,flat,0
1.1859,52,3,2,2.417,house,1
0.9218,21,3,2,1.719,duplex,0
0.4999,46,2,1,0.675,flat,0
0.9241,17,3,2,1.775,duplex,0
0.8075,52,3,2,1.375,flat,0
0.977,40,3,2,1.188,flat,0
0.76,10,3,2,1.625,duplex,0
0.9722,10,3,2,1.375,flat,0
2.0938,16,3,2,1.625,duplex,0
2.0096,36,3,2,1.3,flat,0
1.2185,22,3,2,1.7,duplex,0
1.6307,35,3,2,2.536,house,1
1.0513,35,3,2,0.396,flat,0
2.1094,52,3,2,0.75,flat,0
0.6991,26,3,2,0.895,flat,0
0.957,52,3,2,0.6,flat,0
0.7684,31,3,2,1.531,duplex,0
1.3373,18,3,2,0.583,flat,0
0.8571,21,2,2,0.25,flat,0
0.8054,52,3,2,0.6,flat,0
2.375,4,1,1,1.375,flat,0
2.0348,17,3,2,1.772,duplex,0
2.0968,23,3,2,1.625,duplex,0
2.2234,19,3,2,1.813,duplex,1
0.8198,6,3,2,3.25,house,1
1.3565,25,3,2,2.25,duplex,1
2.1977,17,3,2,1.542,duplex,0
2.2264,11,3,2,1.813,duplex,1
2.754,21,3,2,1.798,duplex,1
2.85,15,3,2,1.875,duplex,1
2.1793,36,3,2,1.857,duplex,1
2.0476,41,3,2,1.813,duplex,1
2.0672,37,3,2,2.833,house,1
2.6458,16,3,2,3.722,house,1
4.3571,51,3,2,4.688,house,1
1.8209,29,3,2,5.00001,house,1
1.5429,24,3,2,3.25,house,1
1.51,30,3,2,1.875,duplex,1
1.3157,43,2,2,3.333,house,1
1.6903,40,3,2,3.5,house,1
1.7306,28,3,2,4.5,house,1
1.9354,35,3,2,3.4,house,1
1.6112,25,3,2,2.625,house,1
1.5328,36,3,2,2.5,house,1
1.705,33,3,2,3.5,house,1
1.625,48,3,2,2.375,house,1
1.4005,43,3,2,1.938,duplex,1
1.6331,34,3,2,1.625,duplex,0
2.1403,30,3,2,2,duplex,1
2.1866,29,3,2,2.5,house,1
1.625,34,3,2,0.675,flat,0
1.8214,34,3,2,2.111,duplex,1
1.8977,28,3,2,1,flat,0
1.8576,37,3,2,1.938,duplex,1
2.5556,27,2,1,1.75,duplex,0
1.7325,36,3,2,2.219,duplex,1
2.0557,34,3,2,2.25,duplex,1
1.5284,31,3,2,2,duplex,1
1.8277,30,3,2,1.375,flat,0
1.7083,29,3,2,1.667,duplex,0
1.2412,36,3,2,2.167,duplex,1
1.7641,38,3,2,2.5,house,1
1.9297,36,3,2,2.033,duplex,1
1.7514,34,3,2,1.875,duplex,1
2.2612,36,3,2,2.304,house,1
