DATE,IP_YOY
1/31/11,4.64
2/28/11,3.81
3/31/11,4.16
4/30/11,3.41
5/31/11,2.16
6/30/11,2.28
7/31/11,2.39
8/31/11,2.65
9/30/11,2.37
10/31/11,3.36
11/30/11,3.25
12/31/11,2.85
1/31/12,3.58
2/29/12,4.32
3/31/12,2.79
4/30/12,3.94
5/31/12,3.9
6/30/12,3.58
7/31/12,3.31
8/31/12,2.29
9/30/12,2.34
10/31/12,1.86
11/30/12,2.42
12/31/12,2.18
1/31/13,1.52
2/28/13,1.79
3/31/13,2.68
4/30/13,1.78
5/31/13,1.65
6/30/13,1.9
7/31/13,1.13
8/31/13,2.27
9/30/13,2.79
10/31/13,2.42
11/30/13,2.24
12/31/13,2.23
1/31/14,1.81
2/28/14,2.14
3/31/14,2.72
4/30/14,3
5/31/14,3.25
6/30/14,3.39
7/31/14,4.06
8/31/14,3.23
9/30/14,3.03
10/31/14,3.19
11/30/14,3.69
12/31/14,3.23
1/31/15,3.09
2/28/15,1.75
3/31/15,0.47
4/30/15,-0.17
5/31/15,-0.94
6/30/15,-1.63
7/31/15,-1.25
8/31/15,-1.28
9/30/15,-1.95
10/31/15,-2.32
11/30/15,-3.69
12/31/15,-3.98
1/31/16,-2.69
2/29/16,-2.92
3/31/16,-3.37
4/30/16,-2.69
5/31/16,-2.37
6/30/16,-1.68
7/31/16,-2.02
8/31/16,-1.98
9/30/16,-1.73
10/31/16,-1.26
11/30/16,-0.88
12/31/16,0.51
1/31/17,-0.48
2/28/17,-0.18
3/31/17,1.16
4/30/17,1.93
5/31/17,2.08
6/30/17,1.79
7/31/17,1.45
8/31/17,1.11
9/30/17,1.22
10/31/17,2.65
11/30/17,3.4
12/31/17,2.85
1/31/18,2.71
2/28/18,3.51
3/31/18,3.71
4/30/18,3.5
