Percentage Marks,Salary
62,270000
76.33,200000
72,240000
60,250000
61,180000
55,300000
70,260000
68,235000
82.8,425000
59,240000
58,250000
60,180000
66,428000
83,450000
68,300000
37.33,240000
79,252000
68.4,280000
70,231000
59,224000
63,120000
50,260000
69,300000
52,120000
49,120000
64.6,250000
50,180000
74,218000
58,360000
67,150000
75,250000
60,200000
55,300000
78,330000
50.08,265000
56,340000
68,177600
52,236000
54,265000
52,200000
76,393000
64.8,360000
74.4,300000
74.5,250000
73.5,360000
57.58,180000
68,180000
69,270000
66,240000
60.8,300000
