BatteryPower,InternalMemory,ClockSpeed,NoOfCores,RAM,TalkTime,DualSim,3G,4G,WiFi,Bluetooth,MobileDepth,MobileWeight,TouchScreen,ScreenHeight,ScreenWidth,FrontCameraPx,RearCameraPX,PxHeight,PxWeight,PriceRange
842,7,2.2,2,2549,19,0,0,0,1,0,0.6,188,0,9,7,1,2,20,756,Medium
1021,53,0.5,3,2631,7,1,1,1,0,1,0.7,136,1,17,3,0,6,905,1988,High
563,41,0.5,5,2603,9,1,1,1,0,1,0.9,145,1,11,2,2,6,1263,1716,High
615,10,2.5,6,2769,11,0,1,0,0,1,0.8,131,0,16,8,0,9,1216,1786,High
1821,44,1.2,2,1411,15,0,1,1,0,1,0.6,141,1,8,2,13,14,1208,1212,Medium
1859,22,0.5,1,1067,10,1,1,0,0,0,0.7,164,0,17,1,3,7,1004,1654,Medium
1821,10,1.7,8,3220,18,0,1,1,1,0,0.8,139,0,13,8,4,10,381,1018,VeryHigh
1954,24,0.5,4,700,5,1,1,0,1,0,0.8,187,1,16,3,0,0,512,1149,Low
1445,53,0.5,7,1099,20,0,1,0,0,1,0.7,174,0,17,1,0,14,386,836,Low
509,9,0.6,5,513,12,1,1,1,0,1,0.1,93,0,19,10,2,15,1137,1224,Low
769,9,2.9,5,3946,7,1,0,0,0,1,0.1,182,0,5,2,0,1,248,874,VeryHigh
1520,33,2.2,8,3826,13,0,1,1,1,1,0.5,177,1,14,9,5,18,151,1005,VeryHigh
1815,33,2.8,4,1482,2,0,1,0,0,0,0.6,159,0,18,0,2,17,607,748,Medium
803,17,2.1,4,2680,4,0,1,0,1,1,1,198,0,7,1,7,11,344,1440,High
1866,52,0.5,1,373,3,0,1,1,1,0,0.7,185,0,14,9,13,17,356,563,Low
775,46,1,2,568,11,0,1,0,1,0,0.7,159,1,17,15,3,16,862,1864,Low
838,13,0.5,8,3554,19,0,1,1,1,0,0.1,196,0,10,9,1,4,984,1850,VeryHigh
595,23,0.9,3,3752,18,1,1,1,0,0,0.1,121,1,10,2,7,17,441,810,VeryHigh
1131,49,0.5,5,1835,16,1,1,0,0,1,0.6,101,1,19,13,11,18,658,878,Medium
682,19,0.5,4,2337,18,0,0,0,1,1,1,121,1,11,1,4,11,902,1064,Medium
772,39,1.1,7,2819,3,1,1,0,0,0,0.8,81,1,17,15,12,14,1314,1854,VeryHigh
