"1","2","3","4","5","6","7","8","9"
"LocID","Location","Time","AgeGrp","AgeGrpStart","AgeGrpSpan","PopMale","PopFemale","PopTotal"
"4","Afghanistan","2010","0-4","0","5","2715.07","2600.535","5315.605"
"8","Albania","2010","0-4","0","5","92.622","81.239","173.861"
"12","Algeria","2010","0-4","0","5","1966.415","1885.869","3852.284"
"24","Angola","2010","0-4","0","5","2233.041","2239.035","4472.076"
"28","Antigua and Barbuda","2010","0-4","0","5","3.543","3.436","6.979"
"32","Argentina","2010","0-4","0","5","1836.187","1769.816","3606.003"
"51","Armenia","2010","0-4","0","5","107.368","93.715","201.083"
"533","Aruba","2010","0-4","0","5","3.402","3.257","6.659"
"36","Australia","2010","0-4","0","5","750.45","711.435","1461.885"
"40","Austria","2010","0-4","0","5","200.53","190.404","390.934"
"31","Azerbaijan","2010","0-4","0","5","376.935","325.314","702.249"
"44","Bahamas","2010","0-4","0","5","15.591","15.568","31.159"
"48","Bahrain","2010","0-4","0","5","46.536","44.911","91.447"
"50","Bangladesh","2010","0-4","0","5","7803.759","7483.66","15287.419"
"52","Barbados","2010","0-4","0","5","8.964","8.66","17.624"
"112","Belarus","2010","0-4","0","5","263.059","248.151","511.21"
"56","Belgium","2010","0-4","0","5","323.731","309.043","632.774"
"84","Belize","2010","0-4","0","5","19.277","18.551","37.828"
"204","Benin","2010","0-4","0","5","791.222","767.59","1558.812"
"64","Bhutan","2010","0-4","0","5","34.003","32.954","66.957"
"68","Bolivia (Plurinational State of)","2010","0-4","0","5","609.376","583.23","1192.606"
"70","Bosnia and Herzegovina","2010","0-4","0","5","89.261","83.959","173.22"
"72","Botswana","2010","0-4","0","5","128.186","125.101","253.287"
"76","Brazil","2010","0-4","0","5","7654.1","7339.949","14994.049"
"96","Brunei Darussalam","2010","0-4","0","5","16.146","15.281","31.427"
"100","Bulgaria","2010","0-4","0","5","192.5","182.246","374.746"
"854","Burkina Faso","2010","0-4","0","5","1444.625","1398.321","2842.946"
"108","Burundi","2010","0-4","0","5","794.312","784.341","1578.653"
"132","Cabo Verde","2010","0-4","0","5","26.223","25.833","52.056"
"116","Cambodia","2010","0-4","0","5","858.243","813.846","1672.089"
"120","Cameroon","2010","0-4","0","5","1747.318","1714.689","3462.007"
"124","Canada","2010","0-4","0","5","967.471","918.838","1886.309"
"148","Chad","2010","0-4","0","5","1168.047","1156.043","2324.09"
"830","Channel Islands","2010","0-4","0","5","4.275","4.155","8.43"
"152","Chile","2010","0-4","0","5","623.613","600.616","1224.229"
"156","China","2010","0-4","0","5","45565.774","39073.481","84639.255"
