"LocID","Location","Time","AgeGrp","AgeGrpStart","AgeGrpSpan","PopMale","PopFemale","PopTotal"
"4","Afghanistan","2020","0-4","0","5","2907.406","2765.103","5672.509"
"8","Albania","2020","0-4","0","5","86.564","79.714","166.278"
"12","Algeria","2020","0-4","0","5","2574.062","2467.456","5041.518"
"24","Angola","2020","0-4","0","5","2923.514","2871.49","5795.004"
"28","Antigua and Barbuda","2020","0-4","0","5","3.73","3.625","7.355"
"32","Argentina","2020","0-4","0","5","1903.426","1833.225","3736.651"
"51","Armenia","2020","0-4","0","5","107.883","97.104","204.987"
"533","Aruba","2020","0-4","0","5","3.107","2.973","6.08"
"36","Australia","2020","0-4","0","5","857.499","812.208","1669.707"
"40","Austria","2020","0-4","0","5","230.364","217.802","448.166"
"31","Azerbaijan","2020","0-4","0","5","435.899","389.499","825.398"
"44","Bahamas","2020","0-4","0","5","13.896","13.168","27.064"
"48","Bahrain","2020","0-4","0","5","54.608","53.446","108.054"
"50","Bangladesh","2020","0-4","0","5","7320.193","7007.986","14328.179"
"52","Barbados","2020","0-4","0","5","7.686","7.434","15.12"
"112","Belarus","2020","0-4","0","5","277.4","270.721","548.121"
"56","Belgium","2020","0-4","0","5","326.341","307.312","633.653"
"84","Belize","2020","0-4","0","5","19.985","19.461","39.446"
"204","Benin","2020","0-4","0","5","968.52","939.809","1908.329"
"64","Bhutan","2020","0-4","0","5","32.463","31.392","63.855"
"68","Bolivia (Plurinational State of)","2020","0-4","0","5","605.964","579.535","1185.499"
"70","Bosnia and Herzegovina","2020","0-4","0","5","68.686","64.568","133.254"
"72","Botswana","2020","0-4","0","5","137.546","134.229","271.775"
"76","Brazil","2020","0-4","0","5","7404.646","7070.447","14475.093"
"96","Brunei Darussalam","2020","0-4","0","5","16.252","15.42","31.672"
"100","Bulgaria","2020","0-4","0","5","160.787","151.943","312.73"
"854","Burkina Faso","2020","0-4","0","5","1766.88","1705.602","3472.482"
"108","Burundi","2020","0-4","0","5","1037.42","1016.42","2053.84"
"132","Cabo Verde","2020","0-4","0","5","26.315","25.617","51.932"
"116","Cambodia","2020","0-4","0","5","907.287","871.69","1778.977"
"120","Cameroon","2020","0-4","0","5","2077.822","2037.881","4115.703"
"124","Canada","2020","0-4","0","5","1020.925","972.207","1993.132"
"148","Chad","2020","0-4","0","5","1475.507","1454.928","2930.435"
"830","Channel Islands","2020","0-4","0","5","4.466","4.236","8.702"
"152","Chile","2020","0-4","0","5","591.86","570.363","1162.223"
"156","China","2020","0-4","0","5","44456.332","39476.105","83932.437"
"344","China, Hong Kong SAR","2020","0-4","0","5","188.529","174.034","362.563"
"446","China, Macao SAR","2020","0-4","0","5","18.367","17.566","35.933"
"158","China, Taiwan Province of China","2020","0-4","0","5","523.999","487.138","1011.137"
"170","Colombia","2020","0-4","0","5","1898.922","1811.777","3710.699"
"174","Comoros","2020","0-4","0","5","62.913","60.595","123.508"
"178","Congo","2020","0-4","0","5","415.382","406.577","821.959"
"188","Costa Rica","2020","0-4","0","5","178.099","169.903","348.002"
"191","Croatia","2020","0-4","0","5","94.827","89.324","184.151"
"192","Cuba","2020","0-4","0","5","293.5","277.783","571.283"
"531","Cura̤ao","2020","0-4","0","5","4.599","4.397","8.996"
"196","Cyprus","2020","0-4","0","5","33.386","31.431","64.817"
"203","Czechia","2020","0-4","0","5","287.156","271.654","558.81"
"384","C̫te d'Ivoire","2020","0-4","0","5","2078.375","2052.825","4131.2"
"408","Dem. People's Republic of Korea","2020","0-4","0","5","893.899","852.194","1746.093"
"180","Democratic Republic of the Congo","2020","0-4","0","5","7991.895","7835.544","15827.439"
"208","Denmark","2020","0-4","0","5","158.372","150.224","308.596"
"262","Djibouti","2020","0-4","0","5","50.198","48.964","99.162"
"214","Dominican Republic","2020","0-4","0","5","511.788","491.041","1002.829"
"218","Ecuador","2020","0-4","0","5","852.48","814.607","1667.087"
"818","Egypt","2020","0-4","0","5","6528.609","6168.603","12697.212"
"222","El Salvador","2020","0-4","0","5","294.856","281.36","576.216"
"226","Equatorial Guinea","2020","0-4","0","5","100.908","98.745","199.653"
"232","Eritrea","2020","0-4","0","5","252.785","242.285","495.07"
"233","Estonia","2020","0-4","0","5","35.833","33.343","69.176"
"748","Eswatini","2020","0-4","0","5","72.522","71.155","143.677"
"231","Ethiopia","2020","0-4","0","5","8520.306","8271.178","16791.484"
"242","Fiji","2020","0-4","0","5","45.916","43.474","89.39"
"246","Finland","2020","0-4","0","5","135.26","128.872","264.132"
"250","France","2020","0-4","0","5","1850.423","1769.564","3619.987"
"254","French Guiana","2020","0-4","0","5","18.222","17.399","35.621"
"258","French Polynesia","2020","0-4","0","5","10.282","9.81","20.092"
"266","Gabon","2020","0-4","0","5","161.882","158.494","320.376"
"270","Gambia","2020","0-4","0","5","206.791","202.715","409.506"
"268","Georgia","2020","0-4","0","5","138.258","130.087","268.345"
"276","Germany","2020","0-4","0","5","2082.343","1976.336","4058.679"
"288","Ghana","2020","0-4","0","5","2129.11","2040.326","4169.436"
"300","Greece","2020","0-4","0","5","211.175","198.284","409.459"
"308","Grenada","2020","0-4","0","5","4.61","4.402","9.012"
"312","Guadeloupe","2020","0-4","0","5","11.637","11.26","22.897"
"316","Guam","2020","0-4","0","5","6.954","6.591","13.545"
"320","Guatemala","2020","0-4","0","5","1055.31","1010.072","2065.382"
"324","Guinea","2020","0-4","0","5","1057.293","1042.818","2100.111"
"624","Guinea-Bissau","2020","0-4","0","5","153.942","151.169","305.111"
"328","Guyana","2020","0-4","0","5","37.908","35.956","73.864"
"332","Haiti","2020","0-4","0","5","643.767","619.176","1262.943"
"340","Honduras","2020","0-4","0","5","520.427","496.59","1017.017"
"348","Hungary","2020","0-4","0","5","237.052","224.09","461.142"
"352","Iceland","2020","0-4","0","5","10.481","9.958","20.439"
"356","India","2020","0-4","0","5","61228.414","55651.093","116879.507"
"360","Indonesia","2020","0-4","0","5","12092.736","11565.56","23658.296"
"364","Iran (Islamic Republic of)","2020","0-4","0","5","3913.297","3724.262","7637.559"
"NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA"
"NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA"
"NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA"
"NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA"
"NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA","NO DATA"
"368","Iraq","2020","0-4","0","5","2768.066","2612.357","5380.423"
"372","Ireland","2020","0-4","0","5","161.56","152.093","313.653"
"376","Israel","2020","0-4","0","5","434.626","413.202","847.828"
"380","Italy","2020","0-4","0","5","1197.289","1127.405","2324.694"
"388","Jamaica","2020","0-4","0","5","117.906","112.917","230.823"
"392","Japan","2020","0-4","0","5","2453.834","2324.647","4778.481"
"400","Jordan","2020","0-4","0","5","542.518","515.604","1058.122"
"398","Kazakhstan","2020","0-4","0","5","990.433","929.751","1920.184"
"404","Kenya","2020","0-4","0","5","3558.343","3486.021","7044.364"
"296","Kiribati","2020","0-4","0","5","7.771","7.389","15.16"
"414","Kuwait","2020","0-4","0","5","148.199","141.49","289.689"
"417","Kyrgyzstan","2020","0-4","0","5","390.192","370.063","760.255"
"428","Latvia","2020","0-4","0","5","59.441","54.579","114.02"
"422","Lebanon","2020","0-4","0","5","289.068","277.059","566.127"
