Month,Cream,Detergent,Moisturizer,Sanitizer,Shampoo,Soap,Total Units,Total Profit
Jan,5100,9600,1525,1550,1200,2510,21485,211500
Feb,5000,6500,1225,1250,2100,2640,18715,183800
Mar,4450,9950,1365,1390,3550,2150,22855,225200
Apr,5770,9270,1155,1180,1870,3410,22655,223200
May,4460,8160,1765,1790,1560,3610,21345,210100
Jun,4803,8663,1530,1555,2203,3755,22509,221740
Jul,4752,8652,1571,1596,2252,4052,22875,225400
Aug,4701,8641,1612,1637,2301,4349,23241,229060
Sep,4650,8630,1653,1678,2350,4646,23607,232720
Oct,4599,8619,1694,1719,2399,4943,23973,236380
Nov,4548,8608,1735,1760,2448,5240,24339,240040
Dec,4497,8597,1776,1801,2497,5537,24705,243700
