Invoice_ID,Customer_ID,Product_Name,Category,Quantity,Price,Total_Sales,Date
I-1,35,Tablet,Electronics,7,360.68,2524.76,18-03-2024
I-2,34,Rice,Groceries,6,128.33,769.98,26-02-2024
I-3,97,Yoga Mat,Sports,2,515.1,1030.2,08-12-2024
I-4,2,Eggs,Groceries,1,733.72,733.72,28-02-2024
I-5,100,Dumbbells,Sports,2,815.41,1630.82,25-02-2024
I-6,80,Rice,Groceries,1,554.84,554.84,14-09-2024
I-7,53,Fruits,Groceries,7,394.07,2758.49,21-12-2024
I-8,81,Smartwatch,Electronics,9,692.08,6228.72,11-08-2024
I-9,15,Lamp,Home Decor,6,755,4530,16-04-2024
I-10,57,Cushion,Home Decor,3,361.73,1085.19,01-05-2024
I-11,11,Football,Sports,1,358.43,358.43,20-10-2024
I-12,57,Laptop,Electronics,10,722.18,7221.8,13-12-2024
I-13,48,Smartphone,Electronics,8,149.27,1194.16,27-04-2024
I-14,50,Rice,Groceries,1,761.12,761.12,24-07-2024
I-15,11,Eggs,Groceries,4,828.47,3313.88,24-08-2024
I-16,95,Vase,Home Decor,2,468.29,936.58,29-10-2024
I-17,24,Cushion,Home Decor,1,621.99,621.99,20-05-2024
I-18,76,Rice,Groceries,9,941.88,8476.92,04-07-2024
I-19,55,Bicycle,Sports,3,501.36,1504.08,27-09-2024
I-20,86,Milk,Groceries,4,634.2,2536.8,26-05-2024
I-21,30,Bread,Groceries,5,624.78,3123.9,03-01-2024
I-22,34,Jacket,Clothing,10,214.67,2146.7,30-06-2024
I-23,38,Smartwatch,Electronics,10,91.26,912.6,14-04-2024
I-24,56,Rice,Groceries,3,95,285,19-10-2024
I-25,87,Yoga Mat,Sports,9,988.79,8899.11,12-04-2024
I-26,14,Bread,Groceries,8,165.48,1323.84,10-09-2024
I-27,3,Tennis Racket,Sports,4,969.14,3876.56,26-06-2024
I-28,29,Milk,Groceries,10,973.93,9739.3,20-08-2024
I-29,77,Yoga Mat,Sports,2,257.63,515.26,06-12-2024
I-30,10,Laptop,Electronics,8,335.17,2681.36,27-03-2024
I-31,31,Curtains,Home Decor,1,133.98,133.98,03-08-2024
I-32,78,Jacket,Clothing,4,503.54,2014.16,08-07-2024
I-33,19,Football,Sports,5,273.48,1367.4,01-02-2024
I-34,89,Rice,Groceries,4,741.29,2965.16,03-10-2024
I-35,81,Fruits,Groceries,3,879.67,2639.01,05-09-2024
I-36,27,Rice,Groceries,3,572.49,1717.47,11-11-2024
I-37,95,Headphones,Electronics,4,878.99,3515.96,06-06-2024
I-38,13,Tablet,Electronics,6,15.65,93.9,01-08-2024
I-39,23,Milk,Groceries,1,771.5,771.5,24-09-2024
I-40,7,Tablet,Electronics,6,366.88,2201.28,05-09-2024
I-41,99,Milk,Groceries,9,879.83,7918.47,16-10-2024
I-42,11,Sneakers,Clothing,1,282.06,282.06,11-06-2024
I-43,44,Football,Sports,4,701.65,2806.6,15-05-2024
I-44,46,Smartphone,Electronics,10,212.49,2124.9,29-01-2024
I-45,69,Cushion,Home Decor,2,176.22,352.44,21-06-2024
I-46,40,Tennis Racket,Sports,6,765.52,4593.12,24-10-2024
I-47,9,Lamp,Home Decor,5,490.85,2454.25,18-07-2024
I-48,49,Fruits,Groceries,1,290.55,290.55,02-05-2024
I-49,34,Laptop,Electronics,6,37.77,226.62,25-06-2024
I-50,90,Jacket,Clothing,9,420.07,3780.63,11-07-2024
I-51,71,Fruits,Groceries,5,985.81,4929.05,27-01-2024
I-52,81,Fruits,Groceries,8,251.37,2010.96,06-01-2024
I-53,35,Sneakers,Clothing,2,533.53,1067.06,18-03-2024
I-54,79,Eggs,Groceries,9,731,6579,13-07-2024
I-55,39,Fruits,Groceries,5,387.27,1936.35,02-12-2024
I-56,88,Headphones,Electronics,7,572.06,4004.42,17-08-2024
I-57,36,Curtains,Home Decor,3,11.88,35.64,05-03-2024
I-58,54,Jacket,Clothing,4,368.3,1473.2,23-08-2024
I-59,83,Bread,Groceries,2,141.45,282.9,25-08-2024
I-60,14,Sneakers,Clothing,7,514.08,3598.56,25-09-2024
I-61,30,Bicycle,Sports,6,357.92,2147.52,21-02-2024
I-62,5,Dumbbells,Sports,4,349.12,1396.48,04-06-2024
I-63,35,Rice,Groceries,4,989.68,3958.72,24-05-2024
I-64,26,Sneakers,Clothing,7,941.31,6589.17,15-12-2024
I-65,29,Wall Art,Home Decor,4,801.9,3207.6,11-03-2024
I-66,30,Eggs,Groceries,10,656.68,6566.8,08-11-2024
I-67,45,Football,Sports,2,378.8,757.6,30-01-2024
I-68,62,Wall Art,Home Decor,3,593.62,1780.86,21-06-2024
I-69,66,Bicycle,Sports,6,45.97,275.82,04-06-2024
I-70,45,Wall Art,Home Decor,9,106.47,958.23,09-01-2024
I-71,17,Tennis Racket,Sports,1,360.14,360.14,05-01-2024
I-72,77,Jacket,Clothing,4,188.09,752.36,06-01-2024
I-73,51,Bread,Groceries,7,168.97,1182.79,11-06-2024
I-74,5,Bread,Groceries,2,785.99,1571.98,16-05-2024
I-75,95,Tablet,Electronics,7,239.79,1678.53,22-05-2024
I-76,71,T-Shirt,Clothing,3,203.81,611.43,04-02-2024
I-77,40,Cushion,Home Decor,7,714.48,5001.36,13-03-2024
I-78,97,Wall Art,Home Decor,4,482.4,1929.6,28-12-2024
I-79,75,Vase,Home Decor,7,862.9,6040.3,17-06-2024
I-80,51,Football,Sports,6,166.71,1000.26,11-07-2024
I-81,84,Smartwatch,Electronics,9,240.82,2167.38,03-10-2024
I-82,90,Eggs,Groceries,3,720.54,2161.62,16-09-2024
I-83,96,Headphones,Electronics,7,825.93,5781.51,20-07-2024
I-84,13,Rice,Groceries,1,506.95,506.95,11-11-2024
I-85,86,Football,Sports,9,222.32,2000.88,01-02-2024
I-86,51,Eggs,Groceries,10,49.46,494.6,06-12-2024
I-87,30,Tennis Racket,Sports,7,540.49,3783.43,01-06-2024
I-88,6,Milk,Groceries,7,828.85,5801.95,30-08-2024
I-89,5,Rice,Groceries,4,813.66,3254.64,09-10-2024
I-90,86,Curtains,Home Decor,2,926.88,1853.76,02-06-2024
I-91,27,Headphones,Electronics,7,754.72,5283.04,14-08-2024
I-92,67,Dumbbells,Sports,4,247.72,990.88,22-01-2024
I-93,6,Football,Sports,10,531.8,5318,09-10-2024
