Song_Name,Artist,Album,Playlist,Popular,Popularity,Duration,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Audio_Mode,Speechiness,Tempo,Time_Signature,Audio_Valence
Cheap Sunglasses,ZZ Top,Deguello,70s Rock Anthems,0,56,288400,0.148,0.617,0.461,0.0151,5,0.12,-14.485,0,0.0434,93.853,4,0.828
I Got the Six - 2008 Remastered Version,ZZ Top,Eliminator,Born To Run 150 BPM,0,43,174240,0.00401,0.62,0.893,0.0408,5,0.123,-4.076,1,0.0414,150.102,4,0.938
Sharp Dressed Man - 2008 Remastered Version,ZZ Top,Eliminator,80s Hard Rock,1,72,258026,0.000359,0.601,0.859,0.00124,5,0.0871,-5.263,1,0.0276,125.145,4,0.446
XCXD BXMB,ZXPH XLLXS,FABRICLIVE 83: Logan Sama,Grime Instrumentals,0,35,292961,1.69E-05,0.251,0.946,0.848,3,0.607,-2.132,0,0.037,140.059,4,0.618
For Real,Zookëper,For Real,Weekend Hangouts,0,55,204813,0.0114,0.71,0.933,0.00109,5,0.219,-3.502,0,0.071,123.959,4,0.593
"Kernkraft 400 - DJ Gius Mix, Radio Edit",Zombie Nation,Kernkraft 400 Single Mixes,Jock Jams,0,61,207266,0.00415,0.714,0.528,0.854,6,0.0819,-8.789,1,0.0692,139.983,4,0.297
Fight Like a Girl,Zolita,Fight Like a Girl,Out Now,0,47,220000,0.205,0.509,0.842,0,10,0.185,-4.611,0,0.102,149.843,4,0.356
Moonwalk (feat. Moneybagg Yo),Zoey Dollaz,Moonwalk (feat. Moneybagg Yo),Off the Strength,0,53,223146,0.113,0.861,0.822,0,2,0.0834,-4.462,1,0.131,131.179,4,0.575
Slime (feat. Smokepurpp & Lil Yachty),Zoey Dollaz,Who Don't Like Dollaz 2,Lowkey Flex,0,58,204060,0.0574,0.838,0.573,0,1,0.104,-6.279,1,0.275,85.493,4,0.346
Slime (feat. Smokepurpp & Lil Yachty),Zoey Dollaz,Who Don't Like Dollaz 2,Most Necessary,0,58,204060,0.0574,0.838,0.573,0,1,0.104,-6.279,1,0.275,85.493,4,0.346
Wish I (feat. Tory Lanez),Zoey Dollaz,Who Don't Like Dollaz 2,Signed XOXO,0,51,201407,0.0267,0.818,0.49,0.000209,11,0.114,-7.613,0,0.238,119.95,5,0.616
No Hay Mal Que Dure,Zoé,Aztlán,Corre con Rock,0,63,292120,0.27,0.46,0.747,0.875,0,0.126,-7.544,1,0.0289,161.495,4,0.535
Loud 2017,ZL-Project,Loud 2017,Para Entrenar,0,51,192010,0.0577,0.811,0.725,0.00131,11,0.53,-10.838,0,0.214,115.009,4,0.839
Hola,Zion & Lennox,Hola,Exitos USA,1,81,220538,0.069,0.81,0.789,0.00103,1,0.0638,-5.048,1,0.04,94.025,4,0.856
Hola,Zion & Lennox,Hola,Viva Latino,1,81,220538,0.069,0.81,0.789,0.00103,1,0.0638,-5.048,1,0.04,94.025,4,0.856
La Player (Bandolera),Zion & Lennox,La Player (Bandolera),Latin Party Anthems,1,89,249608,0.16,0.769,0.838,0,2,0.0935,-5.238,1,0.0633,93.996,4,0.602
La Player (Bandolera),Zion & Lennox,La Player (Bandolera),Viva Latino,1,89,249608,0.16,0.769,0.838,0,2,0.0935,-5.238,1,0.0633,93.996,4,0.602
Yo Voy (feat. Daddy Yankee),Zion & Lennox,Motivando a la Yal,Reggaeton Classics,1,65,232019,0.041,0.808,0.697,0,10,0.0546,-5.899,1,0.241,95.06,4,0.554
A to Z,Ziggy Ramo,A to Z,All Aussie Hip-Hop,0,47,208383,0.103,0.711,0.675,0,9,0.268,-7.134,0,0.0699,120.031,4,0.682
Fine Girl - James Hype Remix,ZieZie,Fine Girl (James Hype Remix),Running Workout Goals,0,45,171250,0.0849,0.786,0.843,0.000265,7,0.0856,-5.824,1,0.0401,124.94,4,0.693
Automatic,ZHU,Automatic,Para Entrenar,0,7,230720,0.0129,0.791,0.679,0.0921,6,0.364,-6.879,1,0.0511,121.993,4,0.73
Faded - ODESZA Remix,ZHU,Faded (The Remixes),Creamy,0,57,238640,0.0408,0.746,0.67,0.194,0,0.133,-5.072,1,0.0594,125.016,4,0.629
Deep Down,Zhavia Ward,Deep Down,Left of Center,1,73,179533,0.0142,0.586,0.564,0,7,0.131,-5.573,1,0.0738,172.037,4,0.161
Deep Down,Zhavia Ward,Deep Down,Mood Booster,1,73,179533,0.0142,0.586,0.564,0,7,0.131,-5.573,1,0.0738,172.037,4,0.161
Deep Down,Zhavia Ward,Deep Down,Pop Matters,1,73,179533,0.0142,0.586,0.564,0,7,0.131,-5.573,1,0.0738,172.037,4,0.161
Are You Gonna' Waste My Time?,Zeus,Busting Visions,Retro Pop,0,0,155786,0.00655,0.459,0.702,1.88E-05,9,0.11,-9.255,1,0.07,148.161,4,0.646
