text,label
excellent great love great fantastic product service,1
normal standard standard product service,2
excellent excellent good good product service,1
fine average okay typical product service,2
okay fine standard product service,2
hate bad bad poor poor poor product service,0
average okay normal average fine product service,2
awesome fantastic love amazing amazing great product service,1
fine average fine product service,2
excellent great great product service,1
poor terrible poor hate poor product service,0
average okay normal normal product service,2
terrible bad disappointing bad hate product service,0
okay normal normal okay normal standard product service,2
amazing amazing fantastic love good love product service,1
awesome awesome amazing great good great product service,1
terrible hate bad awful poor poor product service,0
love good excellent fantastic product service,1
standard standard average product service,2
excellent great fantastic love amazing product service,1
bad poor terrible terrible disappointing product service,0
excellent amazing love great product service,1
normal average standard product service,2
typical average typical typical average product service,2
standard fine typical product service,2
amazing excellent good awesome awesome product service,1
good excellent good awesome good amazing product service,1
poor disappointing poor hate hate poor product service,0
fantastic excellent awesome love excellent product service,1
normal standard average product service,2
bad terrible awful product service,0
good love excellent product service,1
terrible disappointing disappointing terrible disappointing bad product service,0
terrible awful poor terrible product service,0
standard standard normal normal product service,2
fine average standard average fine product service,2
standard okay fine okay normal typical product service,2
terrible hate terrible poor awful product service,0
poor hate poor terrible terrible product service,0
terrible poor bad disappointing terrible bad product service,0
terrible disappointing poor hate hate hate product service,0
fine okay average fine normal product service,2
normal fine normal normal product service,2
typical standard standard typical typical okay product service,2
amazing great awesome amazing awesome product service,1
bad awful bad bad awful bad product service,0
love good amazing great good fantastic product service,1
love fantastic excellent amazing product service,1
disappointing bad bad disappointing disappointing awful product service,0
disappointing hate poor terrible product service,0
okay fine fine fine product service,2
awesome great awesome good awesome fantastic product service,1
excellent awesome awesome excellent product service,1
okay average standard product service,2
fantastic love excellent awesome product service,1
excellent amazing great good fantastic fantastic product service,1
average standard average product service,2
fine okay average fine fine normal product service,2
awful terrible hate hate product service,0
fine typical normal average fine product service,2
awesome amazing good product service,1
awesome fantastic great product service,1
typical okay fine fine average product service,2
average typical normal okay product service,2
excellent love love excellent amazing product service,1
hate hate hate awful disappointing terrible product service,0
hate hate poor hate product service,0
good great good love excellent product service,1
bad terrible poor bad product service,0
amazing good fantastic good product service,1
normal normal typical okay average product service,2
fine fine typical product service,2
terrible bad bad disappointing product service,0
bad terrible poor product service,0
okay normal fine product service,2
poor poor bad terrible poor hate product service,0
awesome excellent love great love love product service,1
fine typical standard average fine product service,2
love excellent good amazing love great product service,1
awful disappointing disappointing terrible awful bad product service,0
amazing awesome love product service,1
hate poor disappointing poor terrible product service,0
fine okay typical standard typical average product service,2
poor terrible awful awful poor product service,0
fantastic great good awesome product service,1
average okay okay product service,2
fine fine standard product service,2
typical standard fine okay standard average product service,2
great amazing awesome love product service,1
great excellent excellent awesome love product service,1
hate poor hate product service,0
great good good product service,1
great amazing love amazing excellent product service,1
hate awful disappointing terrible product service,0
awesome amazing good good product service,1
love great awesome love love product service,1
hate awful terrible product service,0
okay typical fine standard average fine product service,2
fantastic great awesome good excellent love product service,1
terrible bad disappointing terrible product service,0
average okay average product service,2
bad awful terrible product service,0
good awesome amazing product service,1
fine normal normal normal okay product service,2
fine standard standard typical typical product service,2
poor hate terrible bad terrible product service,0
bad disappointing poor awful product service,0
typical normal fine standard average typical product service,2
awesome excellent good awesome good fantastic product service,1
disappointing hate terrible product service,0
good amazing good product service,1
awful terrible awful hate disappointing product service,0
awful poor poor product service,0
terrible disappointing poor product service,0
bad awful hate bad hate disappointing product service,0
standard average standard standard product service,2
disappointing hate terrible product service,0
good amazing amazing love product service,1
fantastic awesome awesome amazing great product service,1
bad poor hate product service,0
okay average typical average standard product service,2
standard average average average normal product service,2
normal fine normal product service,2
bad bad hate product service,0
typical normal normal standard average product service,2
terrible poor poor product service,0
average standard okay fine product service,2
bad awful hate hate product service,0
fantastic amazing awesome great amazing product service,1
awful hate awful disappointing terrible hate product service,0
amazing good love love product service,1
fantastic good fantastic fantastic fantastic product service,1
poor disappointing hate product service,0
awesome good good awesome good good product service,1
average okay typical okay product service,2
bad awful terrible product service,0
poor awful hate poor hate hate product service,0
normal normal normal product service,2
standard average normal standard average normal product service,2
average okay normal fine okay typical product service,2
typical normal normal product service,2
poor disappointing poor disappointing poor hate product service,0
amazing great excellent fantastic amazing product service,1
poor awful terrible product service,0
awesome amazing love great product service,1
love love fantastic amazing love product service,1
excellent love love amazing amazing good product service,1
normal normal normal normal typical standard product service,2
love fantastic great awesome amazing product service,1
disappointing disappointing awful disappointing bad bad product service,0
standard normal typical average product service,2
good great awesome love great fantastic product service,1
fantastic excellent fantastic awesome awesome product service,1
excellent love amazing product service,1
disappointing disappointing bad awful terrible product service,0
awful terrible poor hate product service,0
poor bad awful product service,0
average okay typical okay normal average product service,2
average standard fine average standard average product service,2
average fine average fine standard product service,2
amazing awesome amazing love amazing good product service,1
amazing great love awesome excellent good product service,1
bad terrible bad hate product service,0
typical standard fine average typical average product service,2
poor bad poor bad disappointing product service,0
poor awful terrible product service,0
fine normal average average average product service,2
standard standard fine normal product service,2
great excellent excellent love love product service,1
bad bad disappointing poor bad terrible product service,0
bad disappointing disappointing hate terrible product service,0
terrible terrible poor poor hate product service,0
great excellent good fantastic good amazing product service,1
fine average standard standard average product service,2
fine standard average product service,2
awesome great love love excellent product service,1
disappointing disappointing awful awful awful product service,0
amazing good amazing product service,1
okay average fine normal average normal product service,2
standard standard typical typical product service,2
hate terrible awful awful disappointing terrible product service,0
disappointing disappointing disappointing disappointing product service,0
amazing awesome good awesome awesome good product service,1
okay standard okay product service,2
average standard typical product service,2
average normal average normal product service,2
hate terrible poor disappointing disappointing awful product service,0
fantastic good excellent love product service,1
amazing great love awesome product service,1
fantastic amazing love awesome product service,1
fantastic excellent amazing good product service,1
standard average typical typical product service,2
normal okay standard average product service,2
love excellent love excellent amazing awesome product service,1
fine average okay standard typical typical product service,2
poor disappointing disappointing product service,0
standard average fine average typical normal product service,2
fantastic fantastic good excellent excellent amazing product service,1
average normal fine standard normal fine product service,2
good amazing fantastic product service,1
normal standard normal standard okay normal product service,2
terrible terrible poor product service,0
average average okay standard product service,2
good awesome love love awesome good product service,1
love love good love fantastic product service,1
excellent awesome good excellent good product service,1
awesome fantastic excellent product service,1
average fine fine normal average product service,2
hate poor hate terrible awful disappointing product service,0
love excellent excellent product service,1
terrible awful poor awful bad bad product service,0
fantastic awesome awesome fantastic awesome good product service,1
poor disappointing bad bad terrible product service,0
hate poor bad product service,0
terrible awful terrible poor product service,0
great excellent good great product service,1
bad awful poor terrible disappointing disappointing product service,0
fine normal okay product service,2
average okay normal product service,2
standard standard fine okay product service,2
awful terrible terrible product service,0
normal fine average okay average product service,2
normal typical typical product service,2
typical typical normal fine product service,2
excellent awesome good great product service,1
fine normal normal standard product service,2
disappointing terrible hate product service,0
okay typical typical average okay fine product service,2
good fantastic excellent love great awesome product service,1
normal average average product service,2
standard normal okay typical standard standard product service,2
standard average okay average okay product service,2
typical average fine okay fine product service,2
average standard normal normal average product service,2
hate bad hate awful product service,0
okay average fine product service,2
terrible hate disappointing bad terrible product service,0
awesome love great great good fantastic product service,1
terrible awful poor terrible poor product service,0
okay standard average standard normal normal product service,2
amazing awesome good awesome product service,1
okay fine okay product service,2
amazing excellent love excellent awesome product service,1
standard average average product service,2
good excellent excellent good excellent product service,1
fantastic excellent fantastic product service,1
fine fine fine typical product service,2
awful bad disappointing poor product service,0
terrible hate hate awful bad product service,0
typical typical fine product service,2
terrible hate terrible product service,0
disappointing terrible awful product service,0
poor poor terrible terrible hate product service,0
bad terrible poor product service,0
standard normal average fine normal okay product service,2
great love awesome fantastic product service,1
bad bad disappointing disappointing product service,0
disappointing hate terrible terrible product service,0
normal okay typical okay typical standard product service,2
hate hate poor awful bad awful product service,0
okay okay standard okay standard product service,2
awesome great love great fantastic awesome product service,1
fine standard okay average okay product service,2
normal average standard standard normal product service,2
average okay fine average typical product service,2
awesome good great love great product service,1
love excellent love awesome excellent product service,1
standard normal typical standard okay product service,2
awesome amazing great love awesome love product service,1
amazing amazing fantastic awesome product service,1
poor awful terrible product service,0
bad disappointing terrible product service,0
awful awful awful product service,0
average typical standard typical product service,2
amazing love awesome good amazing product service,1
fantastic good love product service,1
amazing fantastic fantastic love product service,1
poor awful poor product service,0
love great love product service,1
terrible poor poor product service,0
typical standard average typical okay product service,2
terrible disappointing poor product service,0
fantastic love great great good product service,1
hate awful hate hate awful product service,0
typical standard okay fine product service,2
awesome awesome fantastic love awesome product service,1
okay normal okay okay fine normal product service,2
fine typical okay okay product service,2
good amazing good great awesome love product service,1
normal average fine average typical average product service,2
excellent awesome awesome product service,1
amazing excellent awesome fantastic product service,1
terrible bad poor terrible awful product service,0
hate hate awful poor hate bad product service,0
hate poor disappointing product service,0
fantastic awesome good fantastic awesome fantastic product service,1
love amazing fantastic fantastic good product service,1
awful hate awful awful awful terrible product service,0
standard standard okay normal standard product service,2
great awesome excellent good product service,1
